PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 16, filenames: A: frame0030.jpg & B: frame0031.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-2.875752192,-0.1123813506
4,7,-2.977031023,-0.06717971035
4,10,-3.118655421,0.01642263549
4,13,-3.139664396,0.1165173395
4,16,-2.895818664,0.2170112939
4,19,-2.616603056,0.3540804416
4,22,-2.551942043,0.5068068003
4,25,-2.62842552,0.6273180608
4,28,-2.720417474,0.697764486
4,31,-2.756406185,0.7124468584
4,34,-2.733921836,0.69746101
4,37,-2.665779706,0.6612560059
4,40,-2.566505794,0.5563236044
4,43,-2.471010484,0.4195132239
4,46,-2.385435916,0.29396056
4,49,-2.277660564,0.2251511047
4,52,-2.108354298,0.2370466601
4,55,-1.862692972,0.3056407669
4,58,-1.663499965,0.3056329173
4,61,-1.655170932,0.203882513
4,64,-1.777807524,0.1308518597
4,67,-1.894054566,0.232889475
4,70,-1.673038525,0.4681747968
4,73,-1.078858404,0.6700266907
4,76,-0.3706156266,0.7363049941
4,79,0.1309285056,0.6204963182
4,82,0.2380193225,0.4775532902
4,85,-0.1011535276,0.3476441634
4,88,-0.6098398049,0.188829057
4,91,-1.129666391,-0.02705587051
4,94,-1.604627224,-0.2915084808
4,97,-2.028376938,-0.5789700443
4,100,-2.410656597,-0.8728612681
4,103,-2.760141836,-1.161735219
4,106,-3.060543022,-1.4063238
4,109,-3.251015645,-1.543488181
4,112,-3.25325765,-1.535344762
4,115,-3.067135199,-1.41307665
4,118,-2.77437196,-1.210198637
4,121,-2.45309661,-0.9525808936
4,124,-2.15482247,-0.6624647075
4,127,-1.904130153,-0.3687556506
4,130,-1.706468813,-0.09642907799
4,133,-1.56215512,0.1370688212
4,136,-1.46998172,0.3160393675
4,139,-1.420817871,0.4315217444
4,142,-1.400633853,0.5301431144
4,145,-1.384238383,0.645032835
4,148,-1.349294544,0.7631378185
4,151,-1.296502876,0.8051417108
4,154,-1.241525566,0.7118046999
4,157,-1.138883787,0.4983484942
4,160,-0.8889663009,0.149416732
4,163,-0.4348928941,-0.3128748329
4,166,0.07588389676,-0.447887199
4,169,0.408079183,-0.4638510344
4,172,0.4831055227,-0.4601648683
4,175,0.3489461526,-0.4607012293
4,178,0.2201426595,-0.4628725272
7,4,-2.790436713,-0.1581507353
7,7,-2.941491252,-0.1115084037
7,10,-3.186347204,-0.01943142714
7,13,-3.284377163,0.08670847708
7,16,-2.928628278,0.1777866644
7,19,-2.514208302,0.3456849184
7,22,-2.465763045,0.5457303828
7,25,-2.613750371,0.6896860573
7,28,-2.767969035,0.7641174453
7,31,-2.81077816,0.7547789166
7,34,-2.764927037,0.7164313355
7,37,-2.668780496,0.6853703521
7,40,-2.549915289,0.5592436087
7,43,-2.452950321,0.4019048743
7,46,-2.380854165,0.2544447582
7,49,-2.285771267,0.1839129785
7,52,-2.11596873,0.2334655409
7,55,-1.812412817,0.3752603001
7,58,-1.557828812,0.3688935958
7,61,-1.599921299,0.1653716343
7,64,-1.820931202,-0.005101891742
7,67,-2.106375281,0.1237112872
7,70,-1.897644213,0.4664691909
7,73,-1.155452773,0.7419421059
7,76,-0.2566562343,0.8341611246
7,79,0.3637845528,0.6458139043
7,82,0.5021994751,0.4803285293
7,85,0.03624667502,0.3766309578
7,88,-0.559118256,0.236582261
7,91,-1.129475246,0.01196346466
7,94,-1.628552699,-0.2756575868
7,97,-2.061203473,-0.5804907549
7,100,-2.451235797,-0.8905328976
7,103,-2.829836845,-1.223303748
7,106,-3.192163497,-1.531779949
7,109,-3.450777722,-1.705447914
7,112,-3.46104678,-1.672438724
7,115,-3.208199837,-1.512985125
7,118,-2.832892406,-1.276918169
7,121,-2.445260604,-0.99005183
7,124,-2.110159648,-0.6652894664
7,127,-1.848569366,-0.3401931074
7,130,-1.65086635,-0.04677382843
7,133,-1.509928431,0.1972562277
7,136,-1.426751886,0.3732985914
7,139,-1.391914484,0.4495832996
7,142,-1.396529027,0.5267491371
7,145,-1.402831759,0.6647118813
7,148,-1.375070551,0.8545041062
7,151,-1.320139625,0.9455531243
7,154,-1.296523536,0.8267640571
7,157,-1.244526268,0.576585837
7,160,-1.0043274,0.1859787478
7,163,-0.4602837123,-0.4814194192
7,166,0.1684510722,-0.5366154021
7,169,0.5367095189,-0.4962977529
7,172,0.5792450867,-0.4638765916
7,175,0.3369539284,-0.4568491663
7,178,0.1422558334,-0.4578142028
10,4,-2.555619193,-0.2630589878
10,7,-2.771150252,-0.2234885428
10,10,-3.186928281,-0.1201770771
10,13,-3.455725311,-0.001781405375
10,16,-2.982891859,0.07740147111
10,19,-2.39909565,0.3279777843
10,22,-2.382642559,0.6358116549
10,25,-2.63509111,0.8238549979
10,28,-2.904487125,0.905987694
10,31,-2.923950307,0.8401035494
10,34,-2.792218716,0.7256158955
10,37,-2.613707868,0.677107339
10,40,-2.472367026,0.5218073751
10,43,-2.375193926,0.3671665785
10,46,-2.314406806,0.205692497
10,49,-2.229561982,0.1425095376
10,52,-2.086935129,0.2717850601
10,55,-1.746563925,0.5405608321
10,58,-1.457609703,0.4765811992
10,61,-1.600105864,0.07024458738
10,64,-1.927116323,-0.2807635454
10,67,-2.439468179,-0.09389136581
10,70,-2.259675149,0.4270792427
10,73,-1.390025836,0.8035082838
10,76,-0.3329323224,0.9424289726
10,79,0.3602724352,0.6596483649
10,82,0.5427440198,0.4923897833
10,85,-0.04134535997,0.4705714979
10,88,-0.6325304092,0.3696606405
10,91,-1.202690342,0.1128984981
10,94,-1.70107689,-0.2375906888
10,97,-2.127703878,-0.580518519
10,100,-2.511596658,-0.9099533567
10,103,-2.92574094,-1.338024519
10,106,-3.391683305,-1.801330424
10,109,-3.782431758,-2.066234596
10,112,-3.829350331,-1.966440289
10,115,-3.453308441,-1.726212428
10,118,-2.923724362,-1.421004535
10,121,-2.40542267,-1.076062995
10,124,-2.000854213,-0.6706213801
10,127,-1.72871982,-0.2753986387
10,130,-1.539487833,0.05370978933
10,133,-1.407636465,0.3011004705
10,136,-1.339737748,0.4643204911
10,139,-1.32411934,0.4432726352
10,142,-1.37857986,0.4821323755
10,145,-1.43051665,0.6717426517
10,148,-1.41306669,1.021836118
10,151,-1.330619057,1.21812034
10,154,-1.34720307,1.008231148
10,157,-1.381371654,0.6441297694
10,160,-1.180879949,0.2547841209
10,163,-0.5721772323,-0.7116722157
10,166,0.1170150299,-0.6153754631
10,169,0.4496534106,-0.5174153298
10,172,0.4437324616,-0.453564243
10,175,0.0906484101,-0.4476987433
10,178,-0.1487708408,-0.4487924499
13,4,-2.122994092,-0.430566051
13,7,-2.347059932,-0.4267804407
13,10,-2.879295881,-0.3118174265
13,13,-3.273314714,-0.179372493
13,16,-3.024694522,-0.06255600571
13,19,-2.57884548,0.3215223485
13,22,-2.48221669,0.7675204338
13,25,-2.739365256,1.001450991
13,28,-3.178735663,1.088565138
13,31,-3.08375597,0.9815914466
13,34,-2.762075407,0.7394022231
13,37,-2.420849077,0.5221814431
13,40,-2.328749202,0.3753848645
13,43,-2.233868394,0.3283941073
13,46,-2.148645047,0.2175413335
13,49,-2.026287028,0.1666545796
13,52,-1.926329346,0.4244209922
13,55,-1.734531503,0.7509592444
13,58,-1.662471905,0.4548060352
13,61,-1.896326502,-0.130046639
13,64,-2.223282714,-0.5816236182
13,67,-2.594553972,-0.2879333222
13,70,-2.457333211,0.3199941992
13,73,-1.87949011,0.7352285578
13,76,-1.175169891,0.8637852232
13,79,-0.7445424831,0.7166774315
13,82,-0.6377347096,0.6172897312
13,85,-0.9144846267,0.7492462529
13,88,-1.102238287,0.6862422311
13,91,-1.466171589,0.3438662455
13,94,-1.862174486,-0.1357171957
13,97,-2.233256285,-0.5512414773
13,100,-2.556210275,-0.869110706
