PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 47, filenames: A: frame0092.jpg & B: frame0093.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-3.121165841,-1.202709572
4,7,-3.116234711,-1.338310673
4,10,-3.127901859,-1.576672432
4,13,-3.168444911,-1.873230835
4,16,-3.215826082,-2.154737986
4,19,-3.223105985,-2.430986548
4,22,-3.209001617,-3.017668178
4,25,-3.21270247,-3.404370537
4,28,-3.216900965,-3.471557215
4,31,-3.098676703,-3.407738528
4,34,-2.728091003,-3.427346081
4,37,-2.378517358,-3.383110194
4,40,-2.321859925,-3.147826807
4,43,-2.453398628,-2.787827087
4,46,-2.637782225,-2.292485507
4,49,-2.789990895,-1.571592021
4,52,-2.842545355,-0.6774533785
4,55,-2.810134184,-0.1432646275
4,58,-2.778879846,0.08619246965
4,61,-2.739534427,0.1258658281
4,64,-2.625785475,-0.002103473966
4,67,-2.395585901,-0.2708591762
4,70,-1.941922987,-0.4194662089
4,73,-1.532173918,-0.3759832616
4,76,-1.428502763,-0.1722796118
4,79,-1.609867028,0.1553249206
4,82,-1.872954195,0.522013661
4,85,-2.059755843,0.8432775412
4,88,-2.131076922,1.078166359
4,91,-2.100409465,1.204265372
4,94,-1.992601334,1.226127279
4,97,-1.84398884,1.172699891
4,100,-1.686981062,1.062334037
4,103,-1.532276497,0.9058824631
4,106,-1.365192111,0.7352130957
4,109,-1.187109387,0.5880334469
4,112,-1.04524865,0.466436122
4,115,-0.9975354707,0.2431309675
4,118,-1.024601742,-0.3031187608
4,121,-1.030761334,-0.8190319779
4,124,-0.9654602153,-1.11068005
4,127,-0.845949239,-1.151673508
4,130,-0.7041599572,-0.9217259308
4,133,-0.5940305236,-0.5230074383
4,136,-0.5950583423,-0.1616801939
4,139,-0.6912867526,0.06455936614
4,142,-0.7534052384,0.1736489221
4,145,-0.699963884,0.2130827177
4,148,-0.5316433153,0.2039758561
4,151,-0.3039579483,0.09774393326
4,154,-0.08748120412,-0.2043793396
4,157,0.08114943803,-0.7869003675
4,160,0.1604922075,-1.663654682
4,163,0.06014576565,-2.556179772
4,166,-0.3185769054,-3.081986662
4,169,-0.7689631164,-3.188545851
4,172,-1.125696806,-3.068938912
4,175,-1.349818403,-2.903538887
4,178,-1.456803409,-2.795095046
7,4,-3.134483097,-1.080610889
7,7,-3.108645063,-1.240730983
7,10,-3.102361174,-1.497222826
7,13,-3.143747839,-1.81514938
7,16,-3.205685325,-2.110632492
7,19,-3.204899106,-2.339554522
7,22,-3.182864406,-3.23610703
7,25,-3.207591081,-3.711350938
7,28,-3.268534197,-3.678835824
7,31,-3.188246148,-3.489210655
7,34,-2.67972419,-3.560428504
7,37,-2.201155335,-3.5667468
7,40,-2.192953393,-3.290922577
7,43,-2.400933808,-2.926680132
7,46,-2.639457299,-2.435325625
7,49,-2.826471114,-1.62265131
7,52,-2.868478273,-0.4369734393
7,55,-2.799795789,0.1107210675
7,58,-2.783158276,0.3132782824
7,61,-2.781785919,0.3383871743
7,64,-2.680295896,0.1533104416
7,67,-2.463773542,-0.2985129254
7,70,-1.861470217,-0.562803102
7,73,-1.319125131,-0.5504876972
7,76,-1.231349123,-0.3167972693
7,79,-1.541079312,0.1087988776
7,82,-1.928469483,0.5775695467
7,85,-2.170440325,0.9619180365
7,88,-2.248620174,1.227598262
7,91,-2.1952904,1.346936604
7,94,-2.042770049,1.33493883
7,97,-1.852573507,1.253137372
7,100,-1.678380453,1.121166523
7,103,-1.52865417,0.9310480971
7,106,-1.350393294,0.7255101219
7,109,-1.12552897,0.5634002893
7,112,-0.9435167943,0.4851223125
7,115,-0.9315485911,0.3463820926
7,118,-1.047112411,-0.3845906178
7,121,-1.093699982,-1.039237519
7,124,-1.007727125,-1.387358009
7,127,-0.8510190215,-1.460060727
7,130,-0.6678903433,-1.158513838
7,133,-0.5221194321,-0.5952901916
7,136,-0.5469614715,-0.108287227
7,139,-0.7286654691,0.1617176706
7,142,-0.8508525005,0.2618535429
7,145,-0.7982771423,0.2963517018
7,148,-0.5779468975,0.3343034681
7,151,-0.2730963133,0.3141515805
7,154,-0.0008417130441,0.07498431972
7,157,0.204794649,-0.527153156
7,160,0.3158208773,-1.630096856
7,163,0.2238154416,-2.823343335
7,166,-0.2924217695,-3.464414808
7,169,-0.8600700472,-3.468291648
7,172,-1.255588755,-3.182636508
7,175,-1.474705831,-2.880293958
7,178,-1.574845786,-2.692198714
10,4,-3.183798369,-0.7925825697
10,7,-3.089789414,-1.01370968
10,10,-3.01175395,-1.278239281
10,13,-3.013554347,-1.59050098
10,16,-3.070547543,-1.93418746
10,19,-3.049805885,-2.159994471
10,22,-3.030263443,-3.655990221
10,25,-3.093225624,-4.236556882
10,28,-3.224914259,-4.032391503
10,31,-3.206438256,-3.625900207
10,34,-2.542246505,-3.796639797
10,37,-1.942233452,-3.859062354
10,40,-2.053218716,-3.459777551
10,43,-2.352773686,-3.107692709
10,46,-2.623735883,-2.633384244
10,49,-2.825551135,-1.705117382
10,52,-2.828226557,-0.07664300968
10,55,-2.704225429,0.4245778408
10,58,-2.727947451,0.6586989852
10,61,-2.782586944,0.7430960319
10,64,-2.675408522,0.5059543981
10,67,-2.490895891,-0.2470971211
10,70,-1.711684522,-0.7789400028
10,73,-1.036368279,-0.894301295
10,76,-0.9892002785,-0.6417792844
10,79,-1.482560395,-0.009076738437
10,82,-2.057072129,0.6719819661
10,85,-2.376872518,1.188926184
10,88,-2.475867519,1.531434154
10,91,-2.389546964,1.638454235
10,94,-2.141264186,1.54471957
10,97,-1.860691132,1.404233859
10,100,-1.659303212,1.236975274
10,103,-1.544804329,0.9771147206
10,106,-1.362693576,0.6921753003
10,109,-1.038944178,0.4548452303
10,112,-0.7680305353,0.3648589512
10,115,-0.860069751,0.3919880028
10,118,-1.191535207,-0.6124836198
10,121,-1.305538001,-1.441432954
10,124,-1.159040688,-1.85988951
10,127,-0.9413444944,-2.055891946
10,130,-0.7110430158,-1.692183468
10,133,-0.5323051459,-0.8430872346
10,136,-0.6004106154,-0.09871559983
10,139,-0.9150598829,0.2907695232
10,142,-1.122355959,0.3804583195
10,145,-1.059122042,0.3973607041
10,148,-0.7337688183,0.5241938213
10,151,-0.2612582285,0.6828788267
10,154,0.1175035103,0.593415308
10,157,0.3554244623,0.05309832303
10,160,0.4544163821,-1.389927135
10,163,0.3329620777,-3.10310516
10,166,-0.4243110733,-4.030603777
10,169,-1.155752079,-3.890094397
10,172,-1.561441845,-3.326826012
10,175,-1.726020416,-2.781621756
10,178,-1.797455725,-2.435784511
13,4,-3.324783658,-0.2416544137
13,7,-3.069117796,-0.6132998509
13,10,-2.810467889,-0.8630195293
13,13,-2.666761212,-1.038838712
13,16,-2.615934247,-1.337252745
13,19,-2.599508774,-2.146517612
13,22,-2.683145492,-3.801153221
13,25,-2.829641927,-4.357860179
13,28,-2.938058087,-4.116345171
13,31,-2.76068929,-3.707567207
13,34,-2.295606879,-3.912187338
13,37,-1.983759832,-3.918634356
13,40,-2.159437052,-3.367908179
13,43,-2.418775204,-3.163546309
13,46,-2.580580426,-2.694140642
13,49,-2.678757856,-1.632358901
13,52,-2.613066593,-0.188152098
13,55,-2.529857508,0.281196317
13,58,-2.613192658,0.844252074
13,61,-2.654475533,1.182305553
13,64,-2.529208132,0.9045807333
13,67,-2.221544995,0.1121845094
13,70,-1.637193894,-0.8945476386
13,73,-1.157168702,-1.369249006
13,76,-1.074095059,-1.187747572
13,79,-1.514130008,-0.2710733538
13,82,-2.158166315,0.6620745485
13,85,-2.527653596,1.372183187
13,88,-2.722073403,1.870138548
13,91,-2.651477535,1.97474184
13,94,-2.269884018,1.747612102
13,97,-1.862859761,1.533456106
13,100,-1.655835497,1.349166441
13,103,-1.656228077,1.016266303
13,106,-1.523205302,0.6692825698
13,109,-1.066637709,0.3363294176
13,112,-0.6649333377,0.02941457242
13,115,-0.9681734107,0.01774710979
13,118,-1.643769622,-0.8565666659
13,121,-1.786807968,-1.669363108
13,124,-1.53113234,-2.102752285
13,127,-1.279761775,-2.576966161
13,130,-1.064750841,-2.359892715
13,133,-0.9813687567,-1.315420088
13,136,-1.087309802,-0.2564461538
13,139,-1.421040222,0.3485132194
13,142,-1.6547958,0.4112463761
13,145,-1.580292696,0.3818341518
13,148,-1.15880566,0.5882973958
13,151,-0.4383288733,0.9559570314
13,154,0.1113215741,1.070422884
13,157,0.3357973613,0.7983654088
13,160,0.2660130329,-0.7020994983
13,163,-0.1121982637,-2.641794074
13,166,-0.9793502177,-4.103466854
13,169,-1.759578617,-4.012387782
13,172,-2.041906101,-3.280707956
13,175,-2.037319723,-2.523238072
13,178,-2.037011126,-1.977654883
16,4,-3.622626074,0.6787435149
16,7,-3.094179634,-0.02242902838
16,10,-2.553247909,-0.4223338575
16,13,-2.251718253,-0.6507314899
16,16,-2.155870889,-1.066777533
16,19,-2.263978462,-1.43639957
16,22,-2.590695294,-2.403713161
16,25,-2.929441109,-2.829890087
16,28,-3.084998864,-2.800797845
16,31,-2.635601766,-2.926008425
16,34,-2.160323198,-3.230494364
16,37,-2.157435732,-3.258607305
16,40,-2.373008355,-2.864188813
