PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 90, filenames: A: frame0178.jpg & B: frame0179.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-2.226859188,1.023821013
4,7,-2.322985796,0.8812033956
4,10,-2.459425026,0.6231665896
4,13,-2.594006001,0.3123617072
4,16,-2.698479844,0.005559934676
4,19,-2.753788794,-0.2689231269
4,22,-2.763866541,-0.5182697858
4,25,-2.750404138,-0.7459539534
4,28,-2.734031915,-0.9003370238
4,31,-2.698665869,-0.882793237
4,34,-2.611952183,-0.7455104852
4,37,-2.484168476,-0.6060480801
4,40,-2.400397726,-0.6058105045
4,43,-2.478756765,-0.755718271
4,46,-2.686314034,-0.6090474113
4,49,-2.863856769,-0.1896509842
4,52,-2.840914923,0.3864813166
4,55,-2.559515118,0.9934071231
4,58,-2.333309498,1.394187401
4,61,-2.213655528,1.592042182
4,64,-2.163641695,1.582666549
4,67,-2.121488397,1.492515662
4,70,-2.072854513,1.461479603
4,73,-1.997295958,1.45657618
4,76,-1.935859883,1.423907679
4,79,-1.906472201,1.273648017
4,82,-1.930690763,1.078334185
4,85,-2.034065496,0.891032873
4,88,-2.162418349,0.791751717
4,91,-2.108353647,0.7081529326
4,94,-1.877677343,0.5926206665
4,97,-1.498711622,0.5046646296
4,100,-0.9922236989,0.5619819045
4,103,-0.4263513592,0.5415407236
4,106,-0.02764614023,0.3644844129
4,109,-0.1096142519,0.06401834957
4,112,-0.517360007,-0.09172780186
4,115,-1.023870252,-0.04456542856
4,118,-1.525223956,0.1650955154
4,121,-1.933772874,0.3685385066
4,124,-2.214606422,0.5097896001
4,127,-2.444372676,0.616049608
4,130,-2.669488085,0.6859135374
4,133,-2.89440731,0.7624940399
4,136,-3.024522364,0.806485223
4,139,-2.9116838,0.7298240076
4,142,-2.723617199,0.6013531431
4,145,-2.57308428,0.4224477865
4,148,-2.480555154,0.2225990954
4,151,-2.422577289,0.03389709245
4,154,-2.340626433,-0.1008983448
4,157,-2.163594533,-0.1661638652
4,160,-1.884221955,-0.3014883845
4,163,-1.701600577,-0.8287961234
4,166,-1.511359299,-1.317276262
4,169,-1.411870131,-1.678772619
4,172,-1.512412508,-1.735880389
4,175,-1.672053857,-1.645061737
4,178,-1.774764112,-1.568383463
7,4,-2.160347747,1.197140729
7,7,-2.309084568,1.016603536
7,10,-2.48879147,0.6855462676
7,13,-2.646705214,0.3079231827
7,16,-2.758064189,-0.03462604933
7,19,-2.797907808,-0.3098593913
7,22,-2.779432885,-0.55970039
7,25,-2.74538858,-0.8265115315
7,28,-2.7434515,-1.048866775
7,31,-2.733772977,-0.9992725353
7,34,-2.635443135,-0.7854963702
7,37,-2.446094113,-0.5762915426
7,40,-2.294941118,-0.5897059018
7,43,-2.402532298,-0.9477387381
7,46,-2.714385781,-0.7959594009
7,49,-2.9914648,-0.2914775875
7,52,-2.989584721,0.4044618583
7,55,-2.55321815,1.153596795
7,58,-2.28035651,1.55837058
7,61,-2.174792238,1.748607086
7,64,-2.167004938,1.671370689
7,67,-2.143999617,1.503898474
7,70,-2.099387853,1.48873325
7,73,-1.993115159,1.511358649
7,76,-1.921470414,1.522121126
7,79,-1.888767265,1.336718292
7,82,-1.91363569,1.101811127
7,85,-2.055234512,0.8661527235
7,88,-2.285991036,0.7889432017
7,91,-2.242853504,0.7289715856
7,94,-2.00198998,0.5963921288
7,97,-1.598370177,0.4702459754
7,100,-1.029531154,0.6244532902
7,103,-0.3279504336,0.6270880487
7,106,0.2316325893,0.4082948008
7,109,0.09759487903,-0.04221505217
7,112,-0.418904637,-0.2438020816
7,115,-0.9943392349,-0.1748591366
7,118,-1.549881698,0.128587497
7,121,-1.982192175,0.3770763039
7,124,-2.235723614,0.5209347336
7,127,-2.446783303,0.633561535
7,130,-2.671532479,0.6860356514
7,133,-2.932492832,0.7940146141
7,136,-3.117584814,0.899359758
7,139,-2.930716361,0.810320472
7,142,-2.692958067,0.6793287004
7,145,-2.536893282,0.4634544585
7,148,-2.461313806,0.2203204651
7,151,-2.43856106,-0.002893225541
7,154,-2.392256689,-0.1370948447
7,157,-2.213902821,-0.1152200768
7,160,-1.835779321,-0.08688477614
7,163,-1.667189369,-0.8148998357
7,166,-1.422798574,-1.374218914
7,169,-1.29382413,-1.8599432
7,172,-1.483495078,-1.851265204
7,175,-1.720235955,-1.659870825
7,178,-1.860346927,-1.530748217
10,4,-1.963363943,1.57973447
10,7,-2.267768271,1.312800339
10,10,-2.562069064,0.8049501563
10,13,-2.776374441,0.2764001266
10,16,-2.904802249,-0.1376284424
10,19,-2.904880762,-0.3861976119
10,22,-2.816304898,-0.5924215645
10,25,-2.730515318,-0.8999710799
10,28,-2.778189917,-1.291239238
10,31,-2.855014431,-1.200958348
10,34,-2.759752733,-0.8936352073
10,37,-2.468788181,-0.6014340591
10,40,-2.191697381,-0.604134078
10,43,-2.339852632,-1.235739064
10,46,-2.794249742,-1.020747525
10,49,-3.193660413,-0.386477166
10,52,-3.226546081,0.4906759966
10,55,-2.56556936,1.406909013
