PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 22, filenames: A: frame0042.jpg & B: frame0043.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-3.590390796,-1.729489657
4,7,-3.446354228,-1.629327898
4,10,-3.196893698,-1.410141671
4,13,-2.927617481,-1.069170948
4,16,-2.730301094,-0.6479034664
4,19,-2.622663482,-0.3340494866
4,22,-2.626393006,-0.2172670914
4,25,-2.655858321,-0.1405031009
4,28,-2.665859352,0.0551094041
4,31,-2.658384993,0.349731325
4,34,-2.673171858,0.4335980443
4,37,-2.773899497,0.1153838864
4,40,-2.97024457,-0.1299058933
4,43,-3.203597597,-0.2323802515
4,46,-3.40675092,-0.2263536443
4,49,-3.497465623,-0.1142311126
4,52,-3.394997507,0.06901773934
4,55,-3.205934706,0.1420424687
4,58,-3.006207321,0.177323298
4,61,-2.822184817,0.3548037746
4,64,-2.677158134,0.7892735036
4,67,-2.60183241,1.486891347
4,70,-2.559529744,2.162547831
4,73,-2.543787593,2.481344279
4,76,-2.580480938,2.383034714
4,79,-2.687338739,2.03143965
4,82,-2.824217019,1.671665148
4,85,-2.841083572,1.44717652
4,88,-2.729290747,1.277421504
4,91,-2.604139698,1.00140653
4,94,-2.454892944,0.7651823736
4,97,-2.327059677,0.7517145395
4,100,-2.323523807,1.035278488
4,103,-2.444480782,1.427670272
4,106,-2.655006514,1.598675748
4,109,-2.880682919,1.500136807
4,112,-3.029366274,1.011109661
4,115,-3.075807871,0.08881363381
4,118,-3.045021196,-0.6526835782
4,121,-3.013563106,-1.105154827
4,124,-3.029240481,-1.38082502
4,127,-3.10090381,-1.580347417
4,130,-3.171615893,-1.756129127
4,133,-3.146205473,-1.863131185
4,136,-2.979081665,-1.837306684
4,139,-2.804914297,-1.701937568
4,142,-2.675534407,-1.372236374
4,145,-2.578425003,-0.8397675904
4,148,-2.523973182,-0.3429267171
4,151,-2.585336281,-0.1323439041
4,154,-2.804897561,0.01140037095
4,157,-3.123330952,0.09440525332
4,160,-3.316459351,0.1457707257
4,163,-3.385316408,0.1828380667
4,166,-3.425739333,0.231188403
4,169,-3.501017896,0.2919857805
4,172,-3.588116251,0.3095981977
4,175,-3.624246248,0.2615553246
4,178,-3.628886615,0.2086765706
7,4,-3.725383836,-1.863995734
7,7,-3.536390059,-1.7644112
7,10,-3.205157404,-1.518977302
7,13,-2.8633147,-1.121174115
7,16,-2.657190194,-0.5911586298
7,19,-2.560552263,-0.2518841609
7,22,-2.614160397,-0.2228415091
7,25,-2.663095476,-0.2217796943
7,28,-2.667089941,0.01821296039
7,31,-2.635645422,0.4994226854
7,34,-2.623207963,0.6959882422
7,37,-2.724755186,0.1560914882
7,40,-2.953955176,-0.1801310889
7,43,-3.228212178,-0.3258411073
7,46,-3.472209366,-0.3346839125
7,49,-3.593143593,-0.1794791721
7,52,-3.440422415,0.1267681518
7,55,-3.212275431,0.1466572468
7,58,-2.994062475,0.04080983444
7,61,-2.795781379,0.1360424469
7,64,-2.635309944,0.6050268976
7,67,-2.571320787,1.518189526
7,70,-2.531992875,2.425997
7,73,-2.517989041,2.799939747
7,76,-2.578494371,2.607956622
7,79,-2.750016758,2.089989154
7,82,-2.979979002,1.591072208
7,85,-3.007983239,1.344785811
7,88,-2.830754262,1.210571603
7,91,-2.666490738,0.8648497053
7,94,-2.45465976,0.5590960967
7,97,-2.264449769,0.5545674569
7,100,-2.268580493,0.9944428416
7,103,-2.421537969,1.612793347
7,106,-2.652149017,1.861693877
7,109,-2.903191322,1.834978024
7,112,-3.055585289,1.32307841
7,115,-3.087117112,0.03433377879
7,118,-3.020234275,-0.8497045131
7,121,-2.966414444,-1.279658334
7,124,-2.988873488,-1.483884987
7,127,-3.114930161,-1.629655906
7,130,-3.258704127,-1.83082707
7,133,-3.258464012,-1.992080908
7,136,-2.996460489,-1.97092446
7,139,-2.767629187,-1.893328912
7,142,-2.63097263,-1.569262114
7,145,-2.527312452,-0.8904389247
7,148,-2.440310863,-0.2292483927
7,151,-2.491733756,-0.0708042815
7,154,-2.757224998,0.07444424937
7,157,-3.176659373,0.1299781824
7,160,-3.357851263,0.1607747248
7,163,-3.368861527,0.18453004
7,166,-3.371399817,0.2335121185
7,169,-3.462319489,0.3165393022
7,172,-3.596378192,0.3387466132
7,175,-3.647679229,0.2563925815
7,178,-3.652127214,0.168441312
10,4,-4.037870959,-2.120192775
10,7,-3.759008427,-2.024007523
10,10,-3.258950065,-1.716081967
10,13,-2.781191919,-1.231696703
10,16,-2.597288207,-0.5338574324
10,19,-2.557623743,-0.2185651317
10,22,-2.69054437,-0.3260930633
10,25,-2.736315408,-0.4296062099
10,28,-2.724173035,-0.08287071535
10,31,-2.668304907,0.725468942
10,34,-2.641715628,1.1888825
10,37,-2.745864156,0.3392576396
10,40,-2.983321242,-0.1181722714
10,43,-3.263063639,-0.4113328654
10,46,-3.501994435,-0.5107571938
10,49,-3.632295567,-0.3194420586
10,52,-3.413342895,0.2738553969
10,55,-3.174853942,0.1794903352
10,58,-2.974471618,-0.2054809937
10,61,-2.794034495,-0.2578139255
10,64,-2.634495443,0.2499644123
10,67,-2.596603149,1.497068627
10,70,-2.567032019,2.750607831
10,73,-2.575491277,3.170984502
10,76,-2.69878168,2.867989888
10,79,-3.008629675,2.131978375
10,82,-3.380534835,1.372010658
10,85,-3.429710028,1.028655428
10,88,-3.165917223,0.9116604247
10,91,-2.933317046,0.5025095107
10,94,-2.606860627,0.1780258367
10,97,-2.324463694,0.2519679606
10,100,-2.358747406,0.9543463549
10,103,-2.560492983,1.919153248
10,106,-2.705524354,2.212581936
10,109,-2.900897116,2.306665518
10,112,-3.011021383,1.849376019
10,115,-3.021460828,-0.05381507488
10,118,-2.927258569,-1.172302224
10,121,-2.860909616,-1.566041587
10,124,-2.90050198,-1.629333575
10,127,-3.123829916,-1.646115488
10,130,-3.39679202,-1.910204512
10,133,-3.458273675,-2.212721393
10,136,-2.998575224,-2.180420841
10,139,-2.695250451,-2.264388641
10,142,-2.584845325,-2.057605263
10,145,-2.514794442,-1.185605126
10,148,-2.392687653,-0.2363538058
10,151,-2.42437455,-0.1124884887
10,154,-2.733829296,0.1053754503
10,157,-3.237999872,0.140833759
10,160,-3.313784139,0.1647994448
10,163,-3.208381002,0.1931396238
10,166,-3.151786847,0.2340958121
10,169,-3.284521723,0.316097961
10,172,-3.527719407,0.3150240464
10,175,-3.645405466,0.1713150381
10,178,-3.670097671,0.01970291593
13,4,-4.61005241,-2.398475969
13,7,-4.202154586,-2.306063938
13,10,-3.441610684,-1.871130745
13,13,-2.794092807,-1.31684311
13,16,-2.682847283,-0.5646439068
13,19,-2.864572479,-0.5258258751
13,22,-2.995541648,-0.595931212
13,25,-2.928285142,-0.7047704647
13,28,-2.900354017,-0.1225999039
13,31,-2.878269939,0.815915309
13,34,-2.981904289,1.480049895
13,37,-3.106317678,0.9807452695
13,40,-3.18826981,0.4106959216
13,43,-3.313714483,-0.2826988863
13,46,-3.351937494,-0.6261126995
13,49,-3.298848353,-0.5259518881
