PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 31, filenames: A: frame0060.jpg & B: frame0061.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-2.539891797,-0.01000373412
4,7,-2.60160495,0.01870416313
4,10,-2.646475503,0.05743930127
4,13,-2.603124882,0.06780890145
4,16,-2.465582387,0.06557656118
4,19,-2.32842326,0.0459544642
4,22,-2.300136455,-0.0698276642
4,25,-2.440056996,-0.1999158216
4,28,-2.736978961,-0.3067072281
4,31,-3.05749116,-0.486618116
4,34,-3.317174144,-0.5677501327
4,37,-3.499835027,-0.4470664277
4,40,-3.578961693,-0.07505344762
4,43,-3.591667684,0.3715266509
4,46,-3.574735336,0.7449909421
4,49,-3.553335239,0.9852585057
4,52,-3.526632302,1.125635416
4,55,-3.487345016,1.206637753
4,58,-3.433843553,1.248671819
4,61,-3.359944784,1.251831202
4,64,-3.262069087,1.194254731
4,67,-3.14239107,1.044491955
4,70,-2.986501532,0.8053714272
4,73,-2.791282653,0.5042877684
4,76,-2.607072363,0.209817512
4,79,-2.519519905,0.002256550294
4,82,-2.477769024,-0.08453039792
4,85,-2.440479848,-0.08226076101
4,88,-2.397260413,-0.04653378351
4,91,-2.344742644,-0.05228812734
4,94,-2.310776871,-0.1264281513
4,97,-2.376312309,-0.2354936073
4,100,-2.575585305,-0.3918263089
4,103,-2.776316439,-0.5516511133
4,106,-2.809164843,-0.6710688188
4,109,-2.526229928,-0.6948729953
4,112,-2.101978843,-0.6881533887
4,115,-1.735689249,-0.706966608
4,118,-1.589013986,-0.7430616818
4,121,-1.622545638,-0.6175957655
4,124,-1.573409956,-0.4652503979
4,127,-1.370575556,-0.335114088
4,130,-1.038630061,-0.2632919568
4,133,-0.7244680234,-0.2630660247
4,136,-0.7583018735,-0.2200571741
4,139,-1.188348496,-0.08254626578
4,142,-1.729636466,0.1191792868
4,145,-2.282553088,0.3383733025
4,148,-2.825799903,0.5595550396
4,151,-3.317012176,0.7624155847
4,154,-3.681700076,0.8689280507
4,157,-3.829878661,0.7625753293
4,160,-3.752699655,0.4435319976
4,163,-3.505741824,0.006326140604
4,166,-3.216109643,-0.3235410991
4,169,-3.060390045,-0.4058043288
