PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 19, filenames: A: frame0036.jpg & B: frame0037.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-0.7025254251,-0.2288458692
4,7,-0.8040056174,-0.1893288861
4,10,-0.956405162,-0.1326219995
4,13,-1.110494065,-0.0712800497
4,16,-1.235587975,-0.002241145159
4,19,-1.313785801,0.08317895051
4,22,-1.336722644,0.1909313731
4,25,-1.305604693,0.3194575644
4,28,-1.230784036,0.4504286791
4,31,-1.136458489,0.5187773026
4,34,-1.070623346,0.3882166963
4,37,-1.093432241,-0.03524864326
4,40,-1.211050289,-0.4946071779
4,43,-1.480796009,-0.8685468893
4,46,-1.915352655,-1.12453486
4,49,-2.340826739,-1.15864717
4,52,-2.484594738,-0.8892913644
4,55,-2.459195177,-0.5714573911
4,58,-2.324848531,-0.4200307643
4,61,-2.094416872,-0.588853708
4,64,-1.87613659,-1.119700255
4,67,-1.879068426,-1.495123967
4,70,-2.003303359,-1.587093794
4,73,-2.24524825,-1.590459578
4,76,-2.604833105,-1.634127343
4,79,-2.706623407,-1.59076813
4,82,-2.585166092,-1.532852525
4,85,-2.381417162,-1.510943143
4,88,-2.203491058,-1.469206539
4,91,-2.083963367,-1.343062431
4,94,-1.96122997,-1.159695909
4,97,-1.779545639,-0.9629812907
4,100,-1.559900495,-0.7979087681
4,103,-1.395579888,-0.6740248855
4,106,-1.374076958,-0.4870017707
4,109,-1.420037491,-0.3161280543
4,112,-1.49160332,-0.2200498038
4,115,-1.603614129,-0.1186478391
4,118,-1.787473423,0.03719831292
4,121,-2.009416807,0.2169364662
4,124,-2.209206914,0.3611982321
4,127,-2.302906094,0.3924250181
4,130,-2.420793998,0.3187509305
4,133,-2.545539705,0.1631862955
4,136,-2.578560735,-0.08611912635
4,139,-2.493544252,-0.3623418368
4,142,-2.322644971,-0.6509213558
4,145,-2.070048711,-0.9098275069
4,148,-1.772107517,-1.08640688
4,151,-1.470121512,-1.106416989
4,154,-1.266830335,-0.9017635144
4,157,-1.125297082,-0.6802911583
4,160,-1.000127804,-0.8049055545
4,163,-0.8691489381,-1.136867006
4,166,-0.7333783625,-1.407331835
4,169,-0.6084762093,-1.444987566
4,172,-0.5243688266,-1.355134514
4,175,-0.4962938529,-1.268666071
4,178,-0.4887332852,-1.224782262
7,4,-0.5623652824,-0.2804488935
7,7,-0.7178753654,-0.2175468287
7,10,-0.9315600919,-0.1440161788
7,13,-1.130257422,-0.08216217586
7,16,-1.281957879,-0.02015051564
7,19,-1.37066508,0.06299345793
7,22,-1.389248099,0.1830482873
7,25,-1.341892832,0.3453768177
7,28,-1.240934857,0.5377785359
7,31,-1.110003501,0.6818912002
7,34,-1.00018852,0.5639012002
7,37,-0.9909369168,-0.0343641951
7,40,-1.048921791,-0.5938670584
7,43,-1.305395707,-0.999877755
7,46,-1.850489357,-1.286970334
7,49,-2.449778419,-1.304903523
7,52,-2.588089086,-0.8580357358
7,55,-2.561005078,-0.3967402316
7,58,-2.417783059,-0.1749532686
7,61,-2.115319149,-0.3602914599
7,64,-1.783426869,-1.175274295
7,67,-1.815807147,-1.68442572
7,70,-1.949583498,-1.702912548
7,73,-2.218398181,-1.613467571
7,76,-2.758711296,-1.669757205
7,79,-2.850492049,-1.580167866
7,82,-2.643860105,-1.512694192
7,85,-2.354716411,-1.550405606
7,88,-2.144787803,-1.569225305
7,91,-2.065166702,-1.429579206
7,94,-1.986301641,-1.198494931
7,97,-1.805393437,-0.9383675031
7,100,-1.549442601,-0.728896816
7,103,-1.342280128,-0.6432227689
7,106,-1.316899834,-0.4419184412
7,109,-1.340901472,-0.2714517681
7,112,-1.394233099,-0.2338588762
7,115,-1.513393126,-0.1635572046
7,118,-1.758397691,0.02433448731
7,121,-2.053376048,0.2664794753
7,124,-2.305592346,0.4757678984
7,127,-2.314033423,0.5064941826
7,130,-2.438305171,0.4126708128
7,133,-2.63145249,0.2571357758
7,136,-2.69207473,-0.03492745402
7,139,-2.588770312,-0.3355340724
7,142,-2.404473698,-0.6808445564
7,145,-2.118765316,-1.003369594
7,148,-1.795380933,-1.237526451
7,151,-1.440243113,-1.289636527
7,154,-1.245642637,-0.9667360822
7,157,-1.121761967,-0.5401052265
7,160,-1.002663669,-0.7169296892
7,163,-0.8649217849,-1.221357906
7,166,-0.7135656773,-1.62060955
7,169,-0.5677904429,-1.593810242
7,172,-0.4783423851,-1.394553206
7,175,-0.4781189787,-1.252986452
7,178,-0.4820319872,-1.192631184
10,4,-0.2546462599,-0.3836798919
10,7,-0.5365462265,-0.2600365211
10,10,-0.8827119824,-0.1515299123
10,13,-1.174925601,-0.09902518741
10,16,-1.384800715,-0.0630176851
10,19,-1.497639389,0.007155616813
10,22,-1.506115956,0.1454760018
10,25,-1.426570941,0.3598045382
