PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 18, filenames: A: frame0034.jpg & B: frame0035.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,1.311148578,-2.36912011
4,7,1.265073959,-2.059067465
4,10,1.207018666,-1.490967586
4,13,1.18150883,-0.8569506541
4,16,1.243299497,-0.459389041
4,19,1.323056916,-0.2834539031
4,22,1.384501455,-0.2360434889
4,25,1.401398762,-0.2228945534
4,28,1.283675267,-0.1873989647
4,31,0.9238524306,-0.2247781357
4,34,0.2759229273,-0.4776618453
4,37,-0.4068197743,-0.8491431999
4,40,-0.959262637,-1.188733388
4,43,-1.338146344,-1.362363356
4,46,-1.548663557,-1.297849428
4,49,-1.597705505,-1.049543328
4,52,-1.481065866,-0.6818499101
4,55,-1.198363596,-0.2380458404
4,58,-0.7879925066,0.2213265896
4,61,-0.3471067034,0.5891803649
4,64,0.02653408781,0.7660025673
4,67,0.4492566265,0.8971275383
4,70,0.9658671079,1.123919754
4,73,1.416951845,1.457091629
4,76,1.564501108,1.736899747
4,79,1.612110041,1.86345224
4,82,1.658481033,1.813117059
4,85,1.683770294,1.562725458
4,88,1.609384458,1.161930526
4,91,1.376001485,0.7856941809
4,94,1.179758712,0.6540151182
4,97,1.149652992,0.6620014708
4,100,1.035634107,0.7114545593
4,103,0.7580869272,0.6498324905
4,106,0.4460556099,0.4739076158
4,109,0.2048982184,0.1800781811
4,112,0.1050468231,-0.07834637355
4,115,0.09828409881,-0.06270565427
4,118,0.06933510366,0.2272264503
4,121,-0.00661111048,0.1286702961
4,124,-0.06065157357,-0.3268361316
4,127,-0.07153176405,-0.727694682
4,130,-0.02059478514,-1.047897002
4,133,0.1009196683,-1.316440034
4,136,0.2752447514,-1.489961848
4,139,0.4176344063,-1.501662031
4,142,0.3808223012,-1.323146219
4,145,0.1619217795,-1.230313478
4,148,-0.08456366314,-1.280784231
4,151,-0.3152763519,-1.384190083
4,154,-0.6317516174,-1.36444405
4,157,-1.127425484,-1.106578629
4,160,-1.69172604,-0.7824475929
4,163,-2.222572582,-0.5197845638
4,166,-2.676683706,-0.3674738455
4,169,-3.043577262,-0.3327498416
4,172,-3.327539606,-0.3830026525
4,175,-3.53023053,-0.4779928144
4,178,-3.642167164,-0.5655140155
7,4,1.398112269,-2.727225612
7,7,1.30712397,-2.347003656
7,10,1.191212548,-1.608655197
7,13,1.114476436,-0.7519019367
7,16,1.191538818,-0.3182316971
7,19,1.289172899,-0.1798707049
7,22,1.374463908,-0.1841067498
7,25,1.443569947,-0.1984152623
7,28,1.379361461,-0.1146504473
7,31,1.034457629,-0.08380849855
7,34,0.2657519626,-0.4024138984
7,37,-0.5114252602,-0.9005044785
7,40,-1.106134905,-1.369192852
7,43,-1.497009102,-1.612066553
7,46,-1.710755698,-1.508312585
7,49,-1.7627014,-1.192130041
7,52,-1.638106461,-0.7629491031
7,55,-1.317921324,-0.2550226805
7,58,-0.843396348,0.2703280019
7,61,-0.3489095901,0.6742298816
7,64,-0.0207497902,0.7656000712
7,67,0.3858536169,0.804818676
7,70,0.9784412297,1.015114583
7,73,1.541526961,1.443500294
7,76,1.616045952,1.812781441
7,79,1.617192428,1.984782524
7,82,1.656067489,1.952069255
7,85,1.696895353,1.656654139
7,88,1.637660159,1.143602029
7,91,1.334497043,0.6517462794
7,94,1.106957808,0.5760862598
7,97,1.195453979,0.6574767241
7,100,1.121892997,0.7882867355
7,103,0.7791115921,0.7096880124
7,106,0.3995919368,0.4966351985
7,109,0.09293609243,0.1014503638
7,112,-0.03508526142,-0.265744316
7,115,-0.02899180366,-0.1995515174
7,118,-0.02120316911,0.4630975593
7,121,-0.07824691008,0.4232150091
7,124,-0.1094806798,-0.2308174082
7,127,-0.1155895841,-0.7244030505
7,130,-0.06324678,-1.108295129
7,133,0.0725584658,-1.433606848
7,136,0.2909089619,-1.626511196
7,139,0.4993213634,-1.612470632
7,142,0.4659978002,-1.278095588
7,145,0.1892857786,-1.142102817
7,148,-0.0590124605,-1.236815043
7,151,-0.2228881748,-1.426296703
7,154,-0.4921600214,-1.444389758
7,157,-1.056057304,-1.108919428
7,160,-1.699680142,-0.7166913638
7,163,-2.281385298,-0.4110585351
7,166,-2.759581547,-0.243542979
7,169,-3.132331108,-0.2370189246
7,172,-3.420571509,-0.3378970138
7,175,-3.635864361,-0.500537668
7,178,-3.767551567,-0.6673119333
10,4,1.578894349,-3.473709294
10,7,1.36329194,-2.993388595
10,10,1.09097679,-1.984589974
10,13,0.8619971204,-0.7194221253
10,16,0.8877909922,-0.2379664306
10,19,0.9421866048,-0.1233414693
10,22,1.005653603,-0.1639540018
10,25,1.105475099,-0.1975126491
10,28,1.097831576,-0.03959177627
10,31,0.8207028239,0.1206703693
10,34,-0.03731771143,-0.3058649845
10,37,-0.8523112093,-1.022062078
10,40,-1.448605223,-1.735192664
10,43,-1.829232667,-2.115566543
10,46,-2.042076228,-1.914342756
10,49,-2.111510419,-1.472204914
10,52,-1.994714547,-0.9461651646
10,55,-1.629467942,-0.3393071793
10,58,-1.077986739,0.2683192499
10,61,-0.520617541,0.7105569303
10,64,-0.294384105,0.6646330276
10,67,0.04124657044,0.5441839112
10,70,0.6800683352,0.6799672423
10,73,1.392285788,1.236527521
10,76,1.381421948,1.743972214
10,79,1.358231865,1.999430054
10,82,1.388154663,2.032707817
10,85,1.432945351,1.711296686
10,88,1.420903838,1.07730357
10,91,1.096709751,0.4377673775
10,94,0.8872027021,0.4910297926
10,97,1.165332101,0.6681496653
