PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 3, filenames: A: frame0004.jpg & B: frame0005.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-3.553380692,0.129370018
4,7,-3.60543269,-0.0478489585
4,10,-3.729789927,-0.3876220343
4,13,-3.93451193,-0.8161698008
4,16,-4.148407442,-1.202396055
4,19,-4.205211749,-1.455860253
4,22,-3.996020983,-1.623393936
4,25,-3.535472856,-1.633253578
4,28,-3.026608003,-1.519315506
4,31,-2.565812968,-1.393685841
4,34,-2.189432722,-1.411905711
4,37,-2.041484311,-1.494009884
4,40,-2.145005883,-1.51739308
4,43,-2.209517975,-1.487248988
4,46,-2.089761221,-1.395634911
4,49,-1.865276796,-1.332292757
4,52,-1.900346877,-1.374098644
4,55,-2.219427242,-1.353705872
4,58,-2.459556556,-0.9350586537
4,61,-2.628567169,-0.4869421348
4,64,-2.804168398,-0.3699730474
4,67,-2.983744736,-0.3174691987
4,70,-3.123991913,-0.2186629256
4,73,-3.084936459,-0.09714381008
4,76,-2.742297471,-0.01587848784
4,79,-2.460501838,0.0279019172
4,82,-2.305650071,0.07536050117
4,85,-2.227164811,0.1765717828
4,88,-2.217509111,0.3618256626
4,91,-2.283902121,0.6162539564
4,94,-2.419043794,0.7761145725
4,97,-2.570476125,0.5609073379
4,100,-2.694206154,0.2345147783
4,103,-2.870942662,0.07179067907
4,106,-3.005554897,0.07170597897
4,109,-3.090680802,0.09103253944
4,112,-3.165944291,0.02561734297
4,115,-3.245653161,-0.1113483931
4,118,-3.313597181,-0.227605182
4,121,-3.323412992,-0.2109838063
4,124,-3.241100359,-0.1306704437
4,127,-3.071669968,-0.3964059249
4,130,-2.842729878,-0.6065055112
4,133,-2.623069647,-0.6766930291
4,136,-2.446239841,-0.6098648373
4,139,-2.31144731,-0.4578812833
4,142,-2.209010561,-0.2699323582
4,145,-2.119458172,-0.09395780989
4,148,-2.032279185,0.02300219674
4,151,-1.958241067,-0.007467668892
4,154,-1.936027199,-0.2919788742
4,157,-2.012656845,-0.8529837228
4,160,-2.188939195,-1.459261826
4,163,-2.452860407,-1.959264604
4,166,-2.756069059,-2.281559244
4,169,-3.026659081,-2.459709521
4,172,-3.192047383,-2.856466125
4,175,-3.241273975,-3.044662145
4,178,-3.249449345,-3.065414519
7,4,-3.495548476,0.3224937707
7,7,-3.539475356,0.1206059571
7,10,-3.667142505,-0.2958430546
7,13,-3.915971972,-0.8384103079
7,16,-4.211047106,-1.306076933
7,19,-4.312977785,-1.562158514
7,22,-4.087280348,-1.766806554
7,25,-3.529412194,-1.749485523
7,28,-2.958438061,-1.554525147
7,31,-2.457818177,-1.321907664
7,34,-2.012902255,-1.357592285
7,37,-1.872326339,-1.497293127
7,40,-2.128210457,-1.53166603
7,43,-2.276150956,-1.510546321
7,46,-2.1194983,-1.386999237
7,49,-1.722333273,-1.307726026
7,52,-1.723271894,-1.447058311
7,55,-2.185146817,-1.576167446
7,58,-2.441733096,-0.9738453215
7,61,-2.60175244,-0.3486010556
7,64,-2.794712032,-0.335611407
7,67,-3.005632382,-0.3331400849
7,70,-3.207462695,-0.2269225342
7,73,-3.214050755,-0.07610131584
7,76,-2.712845215,0.0016083641
7,79,-2.391208879,0.01486536875
7,82,-2.254016519,0.03339972786
7,85,-2.185313718,0.1315362409
7,88,-2.185875012,0.3538296706
7,91,-2.284761501,0.7187202752
7,94,-2.486653622,1.015977954
7,97,-2.681554191,0.6851144519
7,100,-2.769790477,0.2283577757
7,103,-2.956885138,0.02253763179
7,106,-3.053301941,0.0762062699
7,109,-3.092352306,0.1555196642
7,112,-3.152782562,0.08031253991
7,115,-3.239085634,-0.1180022753
7,118,-3.325411113,-0.2990373226
7,121,-3.35143605,-0.2496266658
7,124,-3.267479526,0.01991943335
7,127,-3.081437956,-0.4321269428
7,130,-2.817982455,-0.7078068267
7,133,-2.58022247,-0.8127605092
7,136,-2.403879303,-0.724303193
7,139,-2.277293874,-0.5203409799
7,142,-2.189807788,-0.2605158514
7,145,-2.106297717,-0.006935662478
7,148,-2.004520319,0.1998521073
7,151,-1.892630086,0.2446934589
7,154,-1.828989068,-0.05289905179
7,157,-1.900786989,-0.8001111823
7,160,-2.093647948,-1.534606969
7,163,-2.403694974,-2.07187374
7,166,-2.763604026,-2.362175771
7,169,-3.080034309,-2.396584437
7,172,-3.253608439,-3.008228376
7,175,-3.270209416,-3.183706189
7,178,-3.266189756,-3.130398942
10,4,-3.391020989,0.7402746966
10,7,-3.406676368,0.5060040722
10,10,-3.50329468,-0.05893352246
10,13,-3.756475746,-0.8344345776
10,16,-4.091756374,-1.467836767
10,19,-4.1893406,-1.742895788
10,22,-3.944827902,-2.051877046
10,25,-3.323009781,-2.021742403
10,28,-2.750165746,-1.717949346
10,31,-2.252309946,-1.268024079
10,34,-1.738675189,-1.295774549
10,37,-1.612754781,-1.48635741
