PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 67, filenames: A: frame0132.jpg & B: frame0133.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-1.230414157,0.9974752458
4,7,-1.360998186,1.05441837
4,10,-1.592740886,1.155165318
4,13,-1.863866499,1.240708836
4,16,-2.142043587,1.276996571
4,19,-2.398402114,1.247249261
4,22,-2.591338945,1.137733989
4,25,-2.724162665,0.9826081473
4,28,-2.820791308,0.78847753
4,31,-2.86869873,0.5520103551
4,34,-2.852994399,0.2195016046
4,37,-2.786025878,-0.2342144778
4,40,-2.717499865,-0.7620155592
4,43,-2.677236111,-1.155470537
4,46,-2.661381861,-1.299352696
4,49,-2.659714818,-1.176691498
4,52,-2.705760028,-0.9572813651
4,55,-2.821938566,-0.7751311942
4,58,-2.981757138,-0.6387818112
4,61,-3.11976498,-0.5114736065
4,64,-3.143931467,-0.3728626392
4,67,-3.041226024,-0.261866058
4,70,-2.886276835,-0.1425575563
4,73,-2.837303681,0.01524214328
4,76,-2.862877761,0.1755479995
4,79,-2.866381503,0.2341966805
4,82,-2.805083773,0.03456438252
4,85,-2.680518553,-0.2883755598
4,88,-2.453565921,-0.5211209509
4,91,-2.195990351,-0.699646262
4,94,-2.017825965,-0.9334397672
4,97,-1.998604476,-1.32587151
4,100,-1.971886594,-1.677940611
4,103,-1.836480655,-1.846753706
4,106,-1.72448043,-1.90196854
4,109,-1.67538155,-1.933421189
4,112,-1.674752839,-1.946682381
4,115,-1.706640641,-1.917693926
4,118,-1.766091863,-1.850107786
4,121,-1.860549465,-1.754214471
4,124,-1.997696937,-1.629919898
4,127,-2.16712814,-1.465555241
4,130,-2.359759297,-1.239927109
4,133,-2.567826815,-0.950388762
4,136,-2.758533229,-0.6650393173
4,139,-2.886461319,-0.4624240698
4,142,-2.878548649,-0.3640253495
4,145,-2.684792115,-0.3458257171
4,148,-2.378375593,-0.3295411137
4,151,-2.084149258,-0.2158936892
4,154,-1.831970524,-0.02052377597
4,157,-1.331221034,0.068760714
4,160,-0.6075407035,0.03732602554
4,163,-0.1844188232,-0.05726469518
4,166,-0.2505674934,-0.1738914093
4,169,-0.5144700901,-0.2983227402
4,172,-0.7232845089,-0.4296925909
4,175,-0.8317398817,-0.5623681719
4,178,-0.8695241233,-0.6463688056
7,4,-1.067026466,0.9364349722
7,7,-1.234226458,1.014432286
7,10,-1.534225447,1.176138614
7,13,-1.854323483,1.30605093
7,16,-2.168268146,1.36479484
7,19,-2.456260566,1.342490794
7,22,-2.646343014,1.20621993
7,25,-2.763963548,1.04518217
7,28,-2.871200925,0.8623164409
7,31,-2.932497566,0.6663387024
7,34,-2.907516266,0.3387292822
7,37,-2.799641979,-0.1853934317
7,40,-2.695488826,-0.8926546599
7,43,-2.634909836,-1.387887562
7,46,-2.608459738,-1.524199999
7,49,-2.590726263,-1.270548558
7,52,-2.637324877,-0.9406286521
7,55,-2.785513063,-0.7409160481
7,58,-2.992109805,-0.6291785047
7,61,-3.177493738,-0.5178258162
7,64,-3.204266854,-0.3628014258
7,67,-3.05663246,-0.2611741758
7,70,-2.818375201,-0.141817448
7,73,-2.769798928,0.05908558642
7,76,-2.835637535,0.2957693108
7,79,-2.867524342,0.4314213742
7,82,-2.816597085,0.1486297488
7,85,-2.714885533,-0.3121604879
7,88,-2.463100506,-0.547319475
7,91,-2.168269188,-0.6828035236
7,94,-1.976000194,-0.8885957041
7,97,-2.046026341,-1.406719579
7,100,-2.057336592,-1.838406812
7,103,-1.818829347,-1.950159732
7,106,-1.662370409,-1.937991036
