PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 4, filenames: A: frame0006.jpg & B: frame0007.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-3.343114809,1.725444311
4,7,-3.362729059,1.816342642
4,10,-3.398035529,1.974746786
4,13,-3.429991709,2.113417692
4,16,-3.421410871,2.120892285
4,19,-3.386294617,2.021565835
4,22,-3.39583093,1.767458347
4,25,-3.468427166,1.286979112
4,28,-3.570093654,0.6612226624
4,31,-3.618398238,0.09907944683
4,34,-3.473174728,-0.1581265983
4,37,-3.228049914,-0.2586001562
4,40,-2.953537442,-0.3256014007
4,43,-2.826633045,-0.4863384335
4,46,-3.045547842,-0.7943134958
4,49,-3.502604595,-1.019347894
4,52,-3.68558838,-1.248591834
4,55,-3.576223523,-1.420002574
4,58,-3.403400175,-1.526188238
4,61,-3.235891277,-1.63489573
4,64,-2.979695231,-1.775897714
4,67,-2.602844321,-1.939171876
4,70,-2.277901031,-2.026631853
4,73,-2.06934648,-2.126252962
4,76,-1.916387323,-2.187132098
4,79,-1.847871185,-2.135646903
4,82,-1.952367498,-1.901461715
4,85,-2.097538869,-1.572197492
4,88,-2.112601412,-1.18206314
4,91,-1.985774543,-0.7721062204
4,94,-1.928150845,-0.5920482685
4,97,-1.960610932,-0.5482752197
4,100,-2.042901495,-0.5472108389
4,103,-2.138624126,-0.581384294
4,106,-2.227348589,-0.6747788999
4,109,-2.28907275,-0.8172631295
4,112,-2.340818636,-1.001292186
4,115,-2.47198563,-1.230399672
4,118,-2.745182749,-1.474497886
4,121,-2.915927616,-1.641143402
4,124,-2.946738929,-1.679837998
4,127,-2.834945665,-1.576151571
4,130,-2.606499402,-1.336911645
4,133,-2.441280238,-1.077952515
4,136,-2.376829231,-1.011607466
4,139,-2.400675146,-1.022153038
4,142,-2.539670596,-1.006263315
4,145,-2.807532921,-1.082342438
4,148,-3.142588688,-1.238305756
4,151,-3.433142007,-1.342130634
4,154,-3.561554571,-1.218475668
4,157,-3.657585351,-1.036307379
4,160,-3.750310352,-0.8453649436
4,163,-3.843046648,-0.7438396504
4,166,-3.92919403,-0.7230162108
4,169,-3.964883002,-0.7664776747
4,172,-3.862886475,-0.7994539153
4,175,-3.732678383,-0.87912672
4,178,-3.651927774,-0.9532648516
7,4,-3.330091161,1.637184603
7,7,-3.349339614,1.756412691
7,10,-3.386254406,1.996066904
7,13,-3.423007094,2.242073935
7,16,-3.398464507,2.281399415
7,19,-3.327130331,2.217945401
7,22,-3.329159881,1.986547095
7,25,-3.426200201,1.434834862
7,28,-3.580069163,0.652923496
7,31,-3.701081449,-0.08470098634
7,34,-3.511211849,-0.3090631087
7,37,-3.215080122,-0.3321682045
7,40,-2.845437333,-0.2961322777
7,43,-2.630466205,-0.4047455724
7,46,-2.904549806,-0.81660304
7,49,-3.58845143,-1.021678199
7,52,-3.794049099,-1.287973428
7,55,-3.596076833,-1.458341318
7,58,-3.392686267,-1.524197922
7,61,-3.262357735,-1.620400104
7,64,-3.018927718,-1.775801277
7,67,-2.569739358,-1.99320025
7,70,-2.214709386,-2.058000268
7,73,-2.024936954,-2.195642413
7,76,-1.853386963,-2.29707693
7,79,-1.74477649,-2.280735094
7,82,-1.909471378,-1.998527968
7,85,-2.139040315,-1.628774785
7,88,-2.164477421,-1.179833057
7,91,-1.937366794,-0.6329617365
7,94,-1.853995001,-0.4937048371
7,97,-1.898455276,-0.4942269084
7,100,-2.006897122,-0.494170593
7,103,-2.1261738,-0.5140411216
7,106,-2.237129956,-0.6149771278
7,109,-2.301485747,-0.765930194
7,112,-2.324448218,-0.957147709
7,115,-2.441379022,-1.22231188
7,118,-2.822165935,-1.544328759
7,121,-3.000095223,-1.771015731
7,124,-3.022521465,-1.825973174
7,127,-2.896161825,-1.693351237
7,130,-2.59181754,-1.356633985
7,133,-2.403758024,-0.9658044928
7,136,-2.334974579,-0.9368726583
7,139,-2.338394503,-0.9935112931
7,142,-2.460495147,-0.9322161789
7,145,-2.740892404,-1.020100135
7,148,-3.118342274,-1.250992867
7,151,-3.464344476,-1.456913569
7,154,-3.550413364,-1.2868595
7,157,-3.640277268,-1.077606596
7,160,-3.735588668,-0.8133646544
7,163,-3.835481088,-0.6815423954
7,166,-3.941735822,-0.6414261884
7,169,-4.00976337,-0.7183420148
7,172,-3.852678124,-0.7455188441
7,175,-3.678494757,-0.8935465231
7,178,-3.573836903,-1.035192458
10,4,-3.296667058,1.435847514
10,7,-3.3045213,1.57582434
10,10,-3.318919043,1.943950915
10,13,-3.336737544,2.418077756
10,16,-3.281138124,2.531857054
10,19,-3.156638061,2.534782689
10,22,-3.141600951,2.362535946
10,25,-3.25177309,1.739731404
10,28,-3.454538242,0.7391493586
10,31,-3.69856997,-0.3388458192
10,34,-3.45430484,-0.5543379
10,37,-3.149965118,-0.4911205163
10,40,-2.712893433,-0.272474433
10,43,-2.392691544,-0.2478742202
10,46,-2.665300607,-0.84263102
10,49,-3.572463439,-0.9933497357
10,52,-3.740967225,-1.343291085
10,55,-3.437772509,-1.516375052
10,58,-3.236393047,-1.5170971
10,61,-3.202571562,-1.621159361
10,64,-3.037063094,-1.809087676
10,67,-2.547752082,-2.122963818
10,70,-2.211613091,-2.13659159
10,73,-2.081205381,-2.335652899
10,76,-1.883631142,-2.45738592
10,79,-1.67491137,-2.49691469
10,82,-1.874353471,-2.133593313
10,85,-2.193306422,-1.725263528
10,88,-2.245688829,-1.208773425
10,91,-1.871489566,-0.4427414627
10,94,-1.757704021,-0.4292531209
10,97,-1.809029453,-0.4777690799
10,100,-1.961043643,-0.4382148672
10,103,-2.123656853,-0.4041395837
10,106,-2.294750778,-0.5153653999
10,109,-2.40308235,-0.6702736519
10,112,-2.41411341,-0.8507354697
10,115,-2.494759497,-1.162949232
10,118,-2.998375385,-1.627169985
10,121,-3.089493546,-1.988980714
10,124,-3.076395397,-2.087295173
10,127,-2.986883459,-1.915263666
10,130,-2.644343834,-1.429664641
10,133,-2.477103754,-0.8049529818
10,136,-2.414464288,-0.8467886387
10,139,-2.366785472,-0.9616390501
10,142,-2.403268234,-0.7922252937
10,145,-2.593902657,-0.8518989752
10,148,-2.934119993,-1.149383968
10,151,-3.335594769,-1.525801486
10,154,-3.372580578,-1.339029499
