PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 20, filenames: A: frame0038.jpg & B: frame0039.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-2.592254087,0.9949203772
4,7,-2.620962882,1.007069903
4,10,-2.686725336,1.00766425
4,13,-2.799018813,0.963043806
4,16,-2.949498746,0.8677709437
4,19,-3.084771462,0.7167366378
4,22,-3.073135127,0.5493003071
4,25,-2.805972255,0.4123409807
4,28,-2.566921081,0.3425189702
4,31,-2.433404812,0.2987365161
4,34,-2.374628398,0.2188015727
4,37,-2.365463156,0.1379548004
4,40,-2.412294978,0.1198879725
4,43,-2.538685462,0.1321932333
4,46,-2.725051376,0.1082357819
4,49,-2.821689277,0.024546468
4,52,-2.795813675,-0.2351130898
4,55,-2.762390664,-0.752313197
4,58,-2.719501968,-1.208300949
4,61,-2.597064866,-1.290389489
4,64,-2.438101745,-1.12338068
4,67,-2.281182754,-0.8468884747
4,70,-2.134650256,-0.5072029308
4,73,-1.973603565,-0.1519618256
4,76,-1.799196963,0.161226523
4,79,-1.678040557,0.3804282779
4,82,-1.69685233,0.4997158862
4,85,-1.766609795,0.5397556659
4,88,-1.83826387,0.5003221311
4,91,-1.93286086,0.405909158
4,94,-1.988800007,0.2828544474
4,97,-1.942502144,0.1578364999
4,100,-1.766869938,0.07112402037
4,103,-1.465298801,0.08784603889
4,106,-1.064408769,0.232617449
4,109,-0.6189384939,0.363867944
4,112,-0.2335866122,0.3538748578
4,115,-0.02983763589,0.1178219308
4,118,0.09197185426,-0.1737536168
4,121,0.2199963765,-0.3691991652
4,124,0.3801452193,-0.4714238769
4,127,0.5322378413,-0.4308656656
4,130,0.6091202276,-0.1680685144
4,133,0.636162271,0.1216710048
4,136,0.593043947,0.2504220825
4,139,0.4660143902,0.2742609104
4,142,0.2635991769,0.2640321296
4,145,0.06081991321,0.2450123956
4,148,-0.06134623733,0.2369645142
4,151,-0.02997148491,0.2502031478
4,154,0.09837337189,0.2881496515
4,157,0.2024236951,0.3466879218
4,160,0.1547624453,0.4039421692
