PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 73, filenames: A: frame0144.jpg & B: frame0145.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-0.04873314545,-0.1356035039
4,7,-0.3342414639,-0.08141117696
4,10,-0.7477415775,0.02168557545
4,13,-1.124530137,0.1574528189
4,16,-1.390643962,0.297287497
4,19,-1.554299166,0.4394220636
4,22,-1.715345835,0.6377022833
4,25,-1.988450301,0.9223965414
4,28,-2.369315806,1.051249781
4,31,-2.764523843,1.058545595
4,34,-3.060343812,1.056983831
4,37,-3.129593175,1.127670681
4,40,-2.995783389,1.192018828
4,43,-2.792730397,1.197517328
4,46,-2.609797985,1.128107743
4,49,-2.490581399,0.9858066279
4,52,-2.431013872,0.8330348813
4,55,-2.391618781,0.7144402976
4,58,-2.364080744,0.7314545271
4,61,-2.334927348,0.7836467388
4,64,-2.286586976,0.9153394378
4,67,-2.208544426,1.122088392
4,70,-2.154549339,1.163288476
4,73,-2.20741561,0.9331788019
4,76,-2.297491514,0.5446621524
4,79,-2.368682417,0.1510920801
4,82,-2.416569385,-0.1659255841
4,85,-2.462205179,-0.3893659694
4,88,-2.507330736,-0.5830005649
4,91,-2.517502188,-0.7718173747
4,94,-2.407430476,-0.9033344328
4,97,-2.106508693,-0.929318866
4,100,-1.705805709,-0.8342063773
4,103,-1.246173259,-0.6391551555
4,106,-0.729182817,-0.37730211
4,109,-0.2185583791,-0.07006313228
4,112,0.1428824737,0.2342500281
4,115,0.236405213,0.4896157848
4,118,0.01156632372,0.6310759857
4,121,-0.4838781763,0.5795595305
4,124,-1.097195114,0.3610807824
4,127,-1.652578663,0.1451441497
4,130,-2.0631817,-0.05835039431
4,133,-2.343181799,-0.2477199661
4,136,-2.521801651,-0.4109477301
4,139,-2.627391322,-0.5501916537
4,142,-2.690679713,-0.6727413347
4,145,-2.751372856,-0.8001935643
4,148,-2.844769921,-0.9228286378
4,151,-2.967820376,-0.9651167696
4,154,-3.072308836,-0.878800478
4,157,-3.137206902,-0.6597684076
4,160,-3.124643864,-0.3515139411
4,163,-3.002492709,-0.02621700456
4,166,-2.83300725,0.2794100073
4,169,-2.702384412,0.5604537889
4,172,-2.693969419,0.8075368717
4,175,-2.76577386,0.9965608304
4,178,-2.825642245,1.104222796
7,4,0.293614624,-0.194351262
7,7,-0.1584266814,-0.1316792768
7,10,-0.7569368663,-0.009960821484
7,13,-1.224762669,0.151637624
7,16,-1.48679678,0.2986060587
7,19,-1.573490044,0.4194816634
7,22,-1.657087243,0.6109215533
7,25,-1.929619072,1.016041981
7,28,-2.369751578,1.141443173
7,31,-2.842766364,1.101270962
7,34,-3.215097835,1.06260974
7,37,-3.272433137,1.174628895
7,40,-3.060557124,1.270330258
7,43,-2.785684683,1.282741602
7,46,-2.551737575,1.187056269
7,49,-2.417813517,0.9600672103
7,52,-2.379703145,0.734636022
7,55,-2.358378509,0.5632125547
7,58,-2.351437539,0.6606795642
7,61,-2.34272758,0.7162509839
7,64,-2.310989455,0.8870344338
7,67,-2.212717462,1.26674973
7,70,-2.119361094,1.381285911
7,73,-2.195786704,1.077732102
7,76,-2.309293822,0.5611510736
7,79,-2.383368873,0.08817071597
7,82,-2.422060537,-0.2452962408
7,85,-2.474854247,-0.4287155675
7,88,-2.551654316,-0.6140932178
7,91,-2.611716369,-0.8549834841
7,94,-2.524197696,-1.033346019
7,97,-2.168468995,-1.071076191
7,100,-1.731773201,-0.9555313181
7,103,-1.256298632,-0.7289507135
7,106,-0.7014292415,-0.4367102954
7,109,-0.123475326,-0.07513281273
7,112,0.29674701,0.283364766
7,115,0.415294888,0.5870194322
7,118,0.160422476,0.7636048026
7,121,-0.4223144855,0.6849612017
7,124,-1.137621114,0.3693028115
7,127,-1.754251141,0.1445069337
7,130,-2.175764389,-0.06879431548
7,133,-2.447267098,-0.2760505562
7,136,-2.603589487,-0.4400411138
7,139,-2.676935349,-0.5693017033
7,142,-2.698322681,-0.6750945032
7,145,-2.717700296,-0.8191527845
7,148,-2.792662661,-1.007818768
7,151,-2.93573264,-1.089370579
7,154,-3.067923373,-1.00677274
7,157,-3.170757126,-0.7491357943
7,160,-3.18327103,-0.3805549334
7,163,-3.035049203,-0.0155064167
7,166,-2.82242376,0.3048673811
7,169,-2.653302538,0.5993157437
7,172,-2.667509723,0.8735373262
7,175,-2.79039539,1.09666706
7,178,-2.880589069,1.236235904
10,4,1.072612155,-0.3252918721
10,7,0.2111199257,-0.2401560539
10,10,-0.8204085823,-0.07421702812
10,13,-1.48089285,0.1513465364
10,16,-1.746247237,0.3186276313
10,19,-1.700483299,0.3996482584
10,22,-1.652798486,0.5353675324
10,25,-1.90755052,1.139490282
10,28,-2.388271517,1.253810195
10,31,-2.915127843,1.173959104
10,34,-3.373842985,1.085966136
10,37,-3.397764035,1.269985556
10,40,-3.087562996,1.383054535
10,43,-2.723260028,1.377027508
10,46,-2.408068206,1.205163135
10,49,-2.244736762,0.7617467645
10,52,-2.258266934,0.3752984466
10,55,-2.284649403,0.1243363548
10,58,-2.331460738,0.478187548
10,61,-2.381086257,0.5210141813
10,64,-2.429458047,0.7270141068
10,67,-2.337015225,1.467599235
10,70,-2.182619223,1.702417954
10,73,-2.271072557,1.289296724
10,76,-2.389316394,0.5473027946
10,79,-2.444533753,-0.02685621464
10,82,-2.438761649,-0.3512081201
10,85,-2.482256561,-0.4294917566
10,88,-2.591178017,-0.609210966
10,91,-2.710764606,-0.9960051055
10,94,-2.620401978,-1.280314942
10,97,-2.167655898,-1.335573236
10,100,-1.704666239,-1.180920954
10,103,-1.271650668,-0.9099181202
10,106,-0.7636712276,-0.5900520783
10,109,-0.2186392042,-0.1278581943
10,112,0.1882523917,0.3234651658
