PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 27, filenames: A: frame0052.jpg & B: frame0053.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-2.832151463,0.9550202319
4,7,-2.791226406,0.9601039786
4,10,-2.725153683,0.9615872972
4,13,-2.665451981,0.9500314552
4,16,-2.617777253,0.9312546049
4,19,-2.577117452,0.899534659
4,22,-2.531572881,0.8983919612
4,25,-2.463676088,0.9717096477
4,28,-2.36974341,1.120014133
4,31,-2.291723022,1.332561492
4,34,-2.303564062,1.555731039
4,37,-2.416837656,1.59281332
4,40,-2.650780119,1.288892551
4,43,-2.854690641,0.9658895851
4,46,-2.694322579,0.9197433959
4,49,-2.321446578,1.105108414
4,52,-1.980483583,1.368728986
4,55,-1.842236866,1.502311605
4,58,-1.900644893,1.540925985
4,61,-2.055669678,1.557254876
4,64,-2.215565545,1.646597586
4,67,-2.323269429,1.850063473
4,70,-2.378538054,1.963934731
4,73,-2.41352473,1.911924784
4,76,-2.433446493,1.894277919
4,79,-2.464323735,2.059681292
4,82,-2.497489507,2.156039281
4,85,-2.541043348,1.878679608
4,88,-2.580279023,1.385064468
4,91,-2.62761996,0.867970324
4,94,-2.708248525,0.4185524816
4,97,-2.776590829,0.006761728119
4,100,-2.816156001,-0.3645970297
4,103,-2.865445286,-0.6252446741
4,106,-2.982284654,-0.6653927114
4,109,-3.118854773,-0.6198616188
4,112,-3.251915077,-0.5682632641
4,115,-3.355468981,-0.5180519778
4,118,-3.344258042,-0.4407311539
4,121,-3.073518509,-0.2858165394
4,124,-2.450473727,-0.04204243522
4,127,-1.68709851,0.1760630001
4,130,-1.189659773,0.3905740567
4,133,-0.9170877501,0.5951229797
4,136,-0.8456372045,0.7333047677
4,139,-0.809918095,0.7845793362
4,142,-0.6460216294,0.7878421162
4,145,-0.439451071,0.7988472488
4,148,-0.1562492923,0.8142112252
4,151,0.4589181482,0.76576429
4,154,1.251302691,0.6206630718
4,157,1.727445929,0.5304452651
4,160,1.887982556,0.5363707602
4,163,1.924235461,0.5828251261
4,166,1.741018696,0.6317081269
4,169,1.309255163,0.6155337115
4,172,0.8566746987,0.5694343126
4,175,0.49036871,0.5446951679
4,178,0.2914068482,0.5383818817
7,4,-2.866921392,0.953715501
7,7,-2.822823366,0.9642952828
7,10,-2.748607812,0.9709769195
7,13,-2.689041829,0.9542914719
7,16,-2.64530529,0.9312921589
7,19,-2.612151545,0.8709581935
7,22,-2.573726827,0.8420344606
7,25,-2.497349737,0.9147598664
7,28,-2.365010648,1.083426079
7,31,-2.234499057,1.354631077
7,34,-2.238337869,1.696355811
7,37,-2.365828202,1.794986729
7,40,-2.697047424,1.298430014
7,43,-3.055431549,0.791880781
7,46,-2.813942786,0.7394499591
7,49,-2.290852124,1.005352337
7,52,-1.829877321,1.403914287
7,55,-1.671595716,1.559862384
7,58,-1.788784145,1.563939961
7,61,-2.022791599,1.510926427
7,64,-2.247975352,1.573497907
7,67,-2.378532129,1.901960373
7,70,-2.424858693,2.063911712
7,73,-2.450684515,1.90613764
7,76,-2.450720387,1.807641907
7,79,-2.475633174,2.099274901
7,82,-2.498732408,2.353284497
7,85,-2.544994174,2.01543053
7,88,-2.580725979,1.413284245
7,91,-2.62376182,0.8215657235
7,94,-2.728061768,0.3660410746
7,97,-2.803229424,-0.05437348154
7,100,-2.825064968,-0.4477482542
7,103,-2.847656203,-0.7431064813
7,106,-2.978756982,-0.7196463899
7,109,-3.121394993,-0.6453988643
7,112,-3.28725793,-0.5995981288
7,115,-3.486463221,-0.5713724668
7,118,-3.612241485,-0.5218477355
7,121,-3.421726436,-0.3630300577
7,124,-2.669035181,-0.0436472439
7,127,-1.652805467,0.169728731
7,130,-1.127719492,0.3998997222
7,133,-0.8882546893,0.6506679021
7,136,-0.9351285036,0.8150694671
7,139,-1.017909437,0.8531282307
7,142,-0.8639316409,0.8229619442
7,145,-0.7021839121,0.8217443381
7,148,-0.5195430136,0.8576519138
7,151,0.2166569705,0.8171742197
7,154,1.292053918,0.6012732784
7,157,1.830179596,0.4901944426
7,160,1.953878337,0.5261464682
7,163,2.042537445,0.5956309264
7,166,1.850713836,0.677306288
7,169,1.281852103,0.6479905798
7,172,0.7471109373,0.5751850483
7,175,0.3286511621,0.5432593461
7,178,0.1102848473,0.5371329326
10,4,-2.956710183,0.9411631916
10,7,-2.930659352,0.9619304313
10,10,-2.876947608,0.9809817121
10,13,-2.839704279,0.9568837217
10,16,-2.812270325,0.937381779
10,19,-2.796530242,0.8372012269
10,22,-2.774302004,0.7625676285
10,25,-2.684234625,0.8220508302
10,28,-2.485639611,0.9915769373
10,31,-2.25672444,1.324686014
10,34,-2.245070359,1.84177058
10,37,-2.368427564,2.063029678
10,40,-2.791653635,1.259622132
10,43,-3.340019754,0.5025661764
10,46,-2.950855683,0.4430253774
10,49,-2.231241552,0.7718535669
10,52,-1.615780813,1.378591614
10,55,-1.429332969,1.587567853
10,58,-1.645206743,1.546591103
10,61,-2.017173004,1.355028477
10,64,-2.376823804,1.332029446
10,67,-2.563268989,1.946861723
10,70,-2.604363168,2.220931796
10,73,-2.613551514,1.880465245
10,76,-2.573257479,1.598254593
10,79,-2.575121685,2.052749603
10,82,-2.566840907,2.539608761
10,85,-2.609795705,2.124057215
10,88,-2.643694073,1.404536173
10,91,-2.689177697,0.7283607534
10,94,-2.834726453,0.3166262223
10,97,-2.916765035,-0.08050901247
10,100,-2.922869446,-0.4364634566
10,103,-2.9095143,-0.760331802
10,106,-3.046933454,-0.6490502947
10,109,-3.14194148,-0.6066130282
10,112,-3.328098455,-0.619562966
10,115,-3.709417024,-0.6407153694
10,118,-4.146459091,-0.6432893294
10,121,-4.229049635,-0.4912480665
10,124,-3.355695934,-0.01069858712
10,127,-1.946384804,0.1228823449
10,130,-1.417343461,0.3556102057
10,133,-1.263829688,0.6856142602
10,136,-1.503239718,0.9087700323
10,139,-1.781188306,0.9433528376
10,142,-1.666331152,0.8588191011
10,145,-1.605465014,0.8169403414
10,148,-1.629737614,0.8799260783
10,151,-0.7469263458,0.8868363001
10,154,0.7377537224,0.596842722
10,157,1.348709058,0.4862454219
10,160,1.478089102,0.5835956832
10,163,1.73163589,0.6579926549
10,166,1.587859421,0.7694662724
10,169,0.8621494933,0.71573011
10,172,0.2991490821,0.6004481721
10,175,-0.1066516632,0.5487790574
10,178,-0.3000389334,0.5349385504
13,4,-3.094780154,0.8967463662
13,7,-3.141763888,0.9258395934
13,10,-3.214208423,0.9626096622
13,13,-3.245247119,0.950557233
13,16,-3.259039864,0.946346077
13,19,-3.275459136,0.8524203493
13,22,-3.280726191,0.7538400469
13,25,-3.171064016,0.7522208043
13,28,-2.919039148,0.8174072261
13,31,-2.619265212,1.135026036
13,34,-2.57499023,1.678664361
13,37,-2.707733551,1.906934061
13,40,-3.051491736,1.071815871
13,43,-3.304255339,0.4330624412
13,46,-2.916524355,0.3053301481
13,49,-2.222028226,0.4571375122
13,52,-1.646300094,1.043729073
13,55,-1.412086531,1.398171569
13,58,-1.686137891,1.327317623
13,61,-2.169534912,0.9889904114
13,64,-2.705654709,0.8404420888
13,67,-2.981172082,1.821784884
13,70,-3.056059477,2.24030253
13,73,-3.010070287,1.874943426
13,76,-2.935688512,1.451272236
13,79,-2.857909737,1.800651328
13,82,-2.804798767,2.192187794
13,85,-2.799896542,1.945246439
13,88,-2.846216287,1.341975829
13,91,-2.960935595,0.6863166969
13,94,-3.101876011,0.4165291461
13,97,-3.157009224,0.09472567669
13,100,-3.200546131,-0.02060389849
13,103,-3.24103309,-0.192397256
13,106,-3.301266565,-0.1684996698
13,109,-3.196908457,-0.3858362663
13,112,-3.303538721,-0.5573185147
13,115,-3.870777279,-0.6249689793
13,118,-4.712854938,-0.639623549
13,121,-5.296955149,-0.5032884714
13,124,-4.572682729,0.1300144387
13,127,-3.136202256,0.003767891132
13,130,-2.494144263,0.1619531159
13,133,-2.553964587,0.4941607101
13,136,-2.870320794,0.7921396715
13,139,-3.205028715,0.8912724254
13,142,-3.327400937,0.7891247044
13,145,-3.462037915,0.6507067735
13,148,-3.572632704,0.6969643033
13,151,-2.780517498,0.8100841163
13,154,-1.461172852,0.7088810728
13,157,-0.7965140562,0.6834839994
13,160,-0.3169249395,0.8283376932
13,163,0.1317718138,0.8150050774
13,166,0.1099646975,0.8163095659
13,169,-0.4220379574,0.7705030499
13,172,-0.774934073,0.6515732707
13,175,-0.8914969838,0.5395493685
13,178,-0.9260268589,0.4898709635
16,4,-3.160221446,0.8050612297
16,7,-3.248491491,0.8328857408
16,10,-3.402131858,0.8949148501
16,13,-3.504223867,0.9510379079
16,16,-3.595274317,1.01389833
16,19,-3.675415783,0.9318157188
16,22,-3.752672575,0.8014541441
16,25,-3.636414626,0.6990362569
16,28,-3.364074992,0.5047763498
16,31,-3.078458736,0.7331992054
16,34,-3.056196536,1.224261239
16,37,-3.280811249,1.396282425
16,40,-3.506759091,0.8078538537
16,43,-3.516825218,0.7145195681
16,46,-3.045393606,0.5779219325
16,49,-2.416368375,0.5991685231
16,52,-1.964052967,0.782896772
16,55,-1.771625808,0.974081742
16,58,-2.145341765,0.6731820163
16,61,-2.589793582,0.3488577119
16,64,-3.223606297,0.4791747226
16,67,-3.517293235,1.370234308
16,70,-3.539443095,2.139089498
16,73,-3.389361715,2.015785678
16,76,-3.220454486,1.742247024
16,79,-3.10636968,1.805856957
16,82,-3.032256614,2.000697967
16,85,-2.969104088,1.894490932
16,88,-3.015764748,1.508994344
16,91,-3.225928845,0.8833647998
16,94,-3.320941883,0.812214546
16,97,-3.31006722,0.5213030132
16,100,-3.398292971,0.5958852784
16,103,-3.504644585,0.4467993987
16,106,-3.558298558,0.4001828166
16,109,-3.25546346,-0.06840285426
16,112,-3.166058497,-0.3756830014
16,115,-3.720036046,-0.4177784428
16,118,-4.644844519,-0.2542983037
16,121,-5.367314133,0.04940923064
16,124,-4.754488439,0.2972089373
16,127,-3.604611803,0.09919564285
16,130,-2.826694748,-0.06185036861
16,133,-2.635460412,-0.104535505
16,136,-2.995660857,0.2617474615
16,139,-3.427924861,0.4469462489
16,142,-3.700756185,0.3152336067
16,145,-3.864343013,0.08239941125
16,148,-4.320927988,0.194565332
16,151,-4.110962708,0.6374507649
16,154,-3.153006496,0.8183002199
16,157,-2.594000595,0.9083550471
16,160,-2.086638502,1.077947219
16,163,-1.511848131,0.86685208
16,166,-1.384289901,0.7099430202
16,169,-1.613949218,0.6115259339
16,172,-1.746973173,0.5116681023
16,175,-1.602519409,0.3496358175
16,178,-1.494183946,0.2555618257
19,4,-3.083791104,0.6815869631
19,7,-3.122766597,0.6889043044
19,10,-3.211351301,0.7561346692
19,13,-3.353314672,0.9666631066
19,16,-3.605567722,1.173879291
19,19,-3.748692349,1.047978226
19,22,-3.84137114,0.8923244881
19,25,-3.719159821,0.7768572393
19,28,-3.347125389,0.4310533547
19,31,-3.128273932,0.5843847036
19,34,-3.198578773,0.9308598178
19,37,-3.552885933,1.115943307
19,40,-3.710124503,0.6845845756
19,43,-3.571176686,0.5896334668
19,46,-3.182825291,0.5516653199
19,49,-2.755733757,0.5408360397
19,52,-2.658988774,0.2194356726
19,55,-2.817016871,0.1800433396
19,58,-2.931171747,-0.04077601949
19,61,-3.100058482,-0.2853622062
19,64,-3.602492672,0.09975762897
19,67,-3.874779159,1.159617674
19,70,-3.928963606,2.051764241
19,73,-3.675068914,1.905225299
19,76,-3.396104613,1.8557791
19,79,-3.24568359,1.787105015
19,82,-3.147098038,1.925730711
19,85,-2.993984541,1.990489073
