PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 29, filenames: A: frame0056.jpg & B: frame0057.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-2.895223441,-2.34916595
4,7,-2.886425262,-2.124549807
4,10,-2.865021459,-1.687927727
4,13,-2.820945482,-1.144007556
4,16,-2.761346096,-0.6291316561
4,19,-2.711882026,-0.1699351689
4,22,-2.644280523,0.2754175485
4,25,-2.551678734,0.6992574686
4,28,-2.462055832,1.02699459
4,31,-2.380114353,1.18464907
4,34,-2.307896769,1.061266461
4,37,-2.267792778,0.6163525924
4,40,-2.256042858,0.3439503733
4,43,-2.238831695,0.2204928914
4,46,-2.224741273,0.09698929599
4,49,-2.26930514,-0.07340676003
4,52,-2.429047643,-0.2266124372
4,55,-2.630863712,-0.354191854
4,58,-2.820098808,-0.4707428763
4,61,-2.978005256,-0.5701817063
4,64,-3.071735305,-0.6049263942
4,67,-3.031045979,-0.4958223079
4,70,-2.872372583,-0.2004041343
4,73,-2.582485045,0.2253520416
4,76,-2.270059609,0.5133321281
4,79,-2.064993043,0.6121826888
4,82,-2.078148074,0.6577008257
4,85,-2.265128081,0.7247616207
4,88,-2.497533374,0.8136929799
4,91,-2.678800955,0.8900887051
4,94,-2.735919552,0.8913848186
4,97,-2.663732526,0.7797006275
4,100,-2.53880227,0.6368454581
4,103,-2.468925019,0.4843760861
4,106,-2.320682389,0.3707026854
4,109,-2.13531744,0.2028103812
4,112,-2.016535624,0.07749441853
4,115,-2.035274179,0.05176582378
4,118,-2.156453463,0.1289571878
4,121,-2.331773041,0.3123289394
4,124,-2.533382973,0.6320207898
4,127,-2.747130991,1.101310052
4,130,-2.958443461,1.619826542
4,133,-3.110269863,2.058947147
4,136,-3.126803523,2.262753304
4,139,-2.975071185,2.114674343
4,142,-2.755471159,1.823033145
4,145,-2.536651987,1.571093823
4,148,-2.339249021,1.468187648
4,151,-2.137097018,1.551126164
4,154,-1.823148288,1.662337497
4,157,-1.212045687,1.472462019
4,160,-0.3001837148,1.101244427
4,163,0.4571827085,1.117880737
4,166,0.8786838436,1.641363924
4,169,0.9653785149,2.185801735
4,172,0.8334992422,2.45095964
4,175,0.6345539586,2.40767403
4,178,0.5090975293,2.297091677
7,4,-2.893940395,-2.623664111
7,7,-2.89092245,-2.366742903
7,10,-2.883889707,-1.812900923
7,13,-2.847371673,-1.126858975
7,16,-2.782591711,-0.5622289982
7,19,-2.744057594,-0.1263102185
7,22,-2.676885881,0.3221110325
