PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 71, filenames: A: frame0140.jpg & B: frame0141.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-2.312982524,0.7862469793
4,7,-2.364699119,0.8543769922
4,10,-2.485422176,0.9802790656
4,13,-2.640617854,1.131610523
4,16,-2.675697582,1.239345599
4,19,-2.555430511,1.200022489
4,22,-2.398597596,1.006337524
4,25,-2.312274578,0.6171216181
4,28,-2.34866794,0.1587716976
4,31,-2.498903085,-0.1098944502
4,34,-2.658269175,-0.2409582597
4,37,-2.723411007,-0.2407859213
4,40,-2.739109101,-0.3469603496
4,43,-2.742951404,-0.5751921924
4,46,-2.744706456,-0.7876951726
4,49,-2.741640285,-0.7715491956
4,52,-2.75027016,-0.5663406803
4,55,-2.771157632,-0.3189464633
4,58,-2.793135933,-0.1540756587
4,61,-2.781389946,-0.1162501105
4,64,-2.70067281,-0.2273859028
4,67,-2.583424491,-0.4428877993
4,70,-2.425476889,-0.70870383
4,73,-2.209678135,-0.972770572
4,76,-1.940468086,-1.169982718
4,79,-1.641072058,-1.247607013
4,82,-1.349765117,-1.22040987
4,85,-1.106419835,-1.13157458
4,88,-0.9052931487,-1.021471748
4,91,-0.7240893931,-0.8326979209
4,94,-0.5392974541,-0.6203701795
4,97,-0.3790405338,-0.3901458626
4,100,-0.3645135433,-0.1735140812
4,103,-0.5378849228,-0.01966661076
4,106,-0.7553533329,0.08818035162
4,109,-0.8926334426,0.169087069
4,112,-0.9203978121,0.1999938375
4,115,-0.8758093059,0.1266718539
4,118,-0.7107456944,-0.02093603822
4,121,-0.3748460627,-0.1073654846
4,124,0.08189836115,-0.1055927771
4,127,0.546644929,-0.02613298604
4,130,0.8145912603,0.118478504
4,133,0.8479736689,0.3231578097
4,136,0.8752033096,0.4449142691
4,139,0.9158039448,0.4609436296
4,142,0.9491194394,0.4143608149
4,145,0.9778652304,0.2905469104
4,148,1.013837693,0.1689274309
4,151,1.0649651,0.1033106547
4,154,1.107272299,0.1492691732
