PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 46, filenames: A: frame0090.jpg & B: frame0091.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-1.248920082,0.4184249931
4,7,-1.378121025,0.3041836986
4,10,-1.560496843,0.1128144384
4,13,-1.711647803,-0.09715848813
4,16,-1.80184197,-0.2414194183
4,19,-1.847149184,-0.2360985419
4,22,-1.899663799,-0.09973626844
4,25,-2.020795503,0.09026222884
4,28,-2.241973802,0.2907158443
4,31,-2.502259554,0.4370354381
4,34,-2.6466608,0.5075350613
4,37,-2.556330565,0.487765397
4,40,-2.274968916,0.4137083032
4,43,-1.890936523,0.3565789454
4,46,-1.460084174,0.3626586642
4,49,-1.196121939,0.4183546663
4,52,-1.163609326,0.4740978559
4,55,-1.339541334,0.4488916827
4,58,-1.67365139,0.3894006394
4,61,-2.035186337,0.3211962413
4,64,-2.327250803,0.1989281306
4,67,-2.48072802,0.03742335598
4,70,-2.551678026,-0.06070034197
4,73,-2.689937866,-0.0740840907
4,76,-2.921719814,0.111263459
4,79,-3.145327383,0.456744462
4,82,-3.178696067,0.6283256187
4,85,-3.027978151,0.7106767622
4,88,-2.798614909,0.7906297851
4,91,-2.60194003,0.8584125397
4,94,-2.52231554,0.8648859774
4,97,-2.593263683,0.7543616982
4,100,-2.707440799,0.6698857322
4,103,-2.780127741,0.667060181
4,106,-2.845587468,0.7088143023
4,109,-2.891015788,0.8297231516
4,112,-2.785286222,1.008933544
4,115,-2.509331656,1.291202042
4,118,-2.202634938,1.514017165
4,121,-2.14512252,1.479039718
4,124,-2.334338131,1.191199301
4,127,-2.541704328,0.6240791919
4,130,-2.73068937,0.03639065984
4,133,-2.921732767,-0.4871930706
4,136,-3.116076174,-0.8846859994
4,139,-3.345431125,-1.109244301
4,142,-3.561465841,-1.20343023
4,145,-3.598421245,-1.197170474
4,148,-3.412735568,-1.131289982
4,151,-3.141908586,-1.012954262
4,154,-2.89962106,-0.8412971702
4,157,-2.735032107,-0.629295287
4,160,-2.644795477,-0.4226934325
4,163,-2.613151703,-0.259577809
4,166,-2.620077104,-0.1334931392
4,169,-2.647721914,-0.02796141927
4,172,-2.68075172,0.05981259679
4,175,-2.707993023,0.1228906556
4,178,-2.722978657,0.155071325
7,4,-1.112956394,0.5504427166
7,7,-1.321835309,0.3921395136
7,10,-1.595754639,0.1322857283
7,13,-1.784283406,-0.1585327272
7,16,-1.856188098,-0.3685210793
7,19,-1.84300609,-0.3527495248
7,22,-1.844685863,-0.1484566148
7,25,-1.965256601,0.0987476328
7,28,-2.259718568,0.3560793598
7,31,-2.643570557,0.5273522849
7,34,-2.87223298,0.6030696878
7,37,-2.738349445,0.5443614491
7,40,-2.35931507,0.408764165
7,43,-1.897720137,0.3153699769
7,46,-1.340886049,0.3298813785
7,49,-1.032623336,0.4258022078
7,52,-1.017708949,0.5395108649
7,55,-1.241715669,0.5033325471
7,58,-1.655519826,0.4309763004
7,61,-2.066863927,0.3775118224
7,64,-2.377037568,0.228370175
7,67,-2.483897676,-0.004476611971
7,70,-2.469092854,-0.150289576
7,73,-2.600506307,-0.2611437225
7,76,-2.904063829,-0.06219339777
7,79,-3.247555963,0.4918206933
7,82,-3.311677646,0.6731793224
7,85,-3.105984204,0.7422672563
7,88,-2.79181964,0.8362518718
7,91,-2.53183765,0.9207572085
7,94,-2.446663615,0.9385139652
7,97,-2.581743494,0.735396734
7,100,-2.739395161,0.6004699122
7,103,-2.795461603,0.6080372874
7,106,-2.891032169,0.6394280423
7,109,-3.037947219,0.7761257031
7,112,-2.950137705,0.9467816284
7,115,-2.577059858,1.354903441
7,118,-2.0921132,1.718025893
7,121,-2.009137854,1.678380894
7,124,-2.29591765,1.343579823
7,127,-2.529061485,0.6157964123
7,130,-2.709923072,-0.02654551054
7,133,-2.893136255,-0.5854965016
7,136,-3.073569374,-1.003779897
7,139,-3.337598498,-1.204492406
7,142,-3.652087337,-1.27624003
7,145,-3.736740149,-1.252961331
7,148,-3.482897817,-1.1915665
7,151,-3.127615268,-1.074749437
7,154,-2.830094485,-0.8839642455
7,157,-2.653497959,-0.6232312283
7,160,-2.573375921,-0.3771284742
7,163,-2.563319174,-0.2165685948
7,166,-2.592580218,-0.1070301722
7,169,-2.639257023,-0.006639419926
7,172,-2.68565657,0.08704903429
7,175,-2.720453348,0.1567832218
7,178,-2.738582523,0.1910410536
10,4,-0.7837441227,0.8472391133
10,7,-1.18779527,0.5895067721
10,10,-1.685014261,0.1900228997
10,13,-1.963608755,-0.2559141702
10,16,-2.014082268,-0.6006989475
10,19,-1.884094376,-0.5757867866
10,22,-1.797600173,-0.2353596981
10,25,-1.935060163,0.1071569363
10,28,-2.35952303,0.4575993179
10,31,-2.936600523,0.6669370814
10,34,-3.295867894,0.7632368304
10,37,-3.034289489,0.6352395791
10,40,-2.4577586,0.3951311191
10,43,-1.923888968,0.2609737708
10,46,-1.239265453,0.3015157772
10,49,-0.9241945765,0.4680555848
10,52,-0.9625294401,0.6962187875
10,55,-1.249255983,0.6218851027
10,58,-1.729169143,0.4916264911
10,61,-2.124078401,0.4405375922
10,64,-2.382518145,0.2029776638
10,67,-2.38291616,-0.1565038897
10,70,-2.215733936,-0.3677254
10,73,-2.35554843,-0.7266075454
10,76,-2.765385285,-0.5861910888
10,79,-3.320779485,0.4132267113
10,82,-3.502274336,0.6149670096
10,85,-3.255133367,0.7089945309
10,88,-2.824020817,0.8528397632
10,91,-2.463375916,0.9403345703
10,94,-2.3931851,0.9914856584
10,97,-2.620686969,0.6160484403
10,100,-2.802452177,0.4074246798
10,103,-2.755986986,0.4702399326
10,106,-2.892034781,0.4992990255
10,109,-3.276776921,0.6767877493
10,112,-3.259199922,0.7541229353
10,115,-2.771536371,1.383818715
10,118,-1.981578769,1.993645441
10,121,-1.856317952,1.889548384
10,124,-2.2647072,1.426784193
10,127,-2.493587244,0.449864458
10,130,-2.627155817,-0.1721696261
10,133,-2.765469866,-0.7367198968
10,136,-2.886954464,-1.166752916
10,139,-3.163319133,-1.323986962
10,142,-3.618255769,-1.362896133
10,145,-3.836710415,-1.336394644
10,148,-3.505693355,-1.312250792
10,151,-3.040266325,-1.208300322
10,154,-2.662122214,-0.9812423345
10,157,-2.479887031,-0.6034290786
10,160,-2.424285221,-0.2644884279
10,163,-2.461941663,-0.1266033946
10,166,-2.538607938,-0.06502414486
10,169,-2.625500841,0.02746818065
10,172,-2.69915177,0.1427799837
10,175,-2.74837542,0.2319572684
10,178,-2.772060875,0.2701403514
13,4,-0.1975919777,1.305781766
13,7,-0.9295115163,0.8798213315
13,10,-1.8053467,0.277387731
13,13,-2.229293674,-0.3483013582
13,16,-2.307095542,-0.8498138474
13,19,-2.047269404,-0.8697732011
13,22,-1.905375972,-0.3847258402
13,25,-2.128037004,0.0459112591
13,28,-2.658725915,0.44163737
13,31,-3.270002847,0.6903722664
13,34,-3.658765313,0.8338228806
13,37,-3.180365811,0.6441357781
13,40,-2.396616901,0.3459230542
13,43,-1.905619165,0.2820333101
13,46,-1.477997334,0.3755999394
13,49,-1.308891199,0.6131236911
13,52,-1.433112294,0.9386514468
13,55,-1.767292064,0.8183009842
13,58,-2.093123977,0.5168269438
13,61,-2.226378373,0.3306526945
13,64,-2.180288536,-0.1815811503
13,67,-2.0392158,-0.5867546429
13,70,-1.799137346,-0.8079382078
13,73,-2.02619123,-1.465497506
13,76,-2.455976666,-1.537072721
13,79,-3.08027743,-0.1087754894
13,82,-3.579163976,0.2122158013
13,85,-3.464592881,0.4784636219
13,88,-3.016775634,0.7113331207
13,91,-2.522331417,0.6780733735
13,94,-2.546836357,0.7317796
13,97,-2.723779127,0.2678529522
13,100,-2.769673758,0.05112684189
13,103,-2.497509892,0.2163769554
13,106,-2.657441124,0.3247973491
13,109,-3.326403673,0.5541948173
13,112,-3.421714741,0.4114527324
13,115,-2.976759301,1.228915057
13,118,-2.070319735,2.006358835
13,121,-1.935550942,1.823877544
13,124,-2.201578581,1.004274049
13,127,-2.396166946,0.06024035821
13,130,-2.452722022,-0.3526801039
13,133,-2.464843636,-0.8593065405
13,136,-2.500945488,-1.248507227
13,139,-2.686405218,-1.419850592
13,142,-3.072521383,-1.41313177
13,145,-3.533663507,-1.463031207
