PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 36, filenames: A: frame0070.jpg & B: frame0071.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-3.482076106,-0.1216477776
4,7,-3.384360629,-0.1563284892
4,10,-3.274587774,-0.2675331642
4,13,-3.246070769,-0.4807423
4,16,-3.143161132,-0.6987278461
4,19,-3.015109529,-0.9465244634
4,22,-3.008076108,-1.231198875
4,25,-3.060491999,-1.266733033
4,28,-2.947096479,-1.253926812
4,31,-2.636604103,-0.7826712373
4,34,-2.280304319,-0.09559700196
4,37,-2.030495657,0.4601275393
4,40,-1.913490887,0.8524291893
4,43,-1.890739759,1.039496506
4,46,-1.904852436,1.017500067
4,49,-1.947929479,0.8290075221
4,52,-1.98950333,0.7384271919
4,55,-2.010797362,0.7181664079
4,58,-2.044141063,0.5160896965
4,61,-2.105333462,0.2263555193
4,64,-2.16045183,-0.07016177569
4,67,-2.191876378,-0.4351476404
4,70,-2.220377023,-0.8435198204
4,73,-2.292675757,-1.205586206
4,76,-2.442467356,-1.725158058
4,79,-2.670732768,-2.145688223
4,82,-2.900031791,-2.428982072
4,85,-3.003385526,-2.524131763
4,88,-2.860667664,-2.300807118
4,91,-2.655227014,-1.788854198
4,94,-2.572548461,-1.22397641
4,97,-2.7313824,-0.7983013854
4,100,-2.997828913,-0.4811514641
4,103,-3.143288935,-0.3259242814
4,106,-3.098212645,-0.2882965173
4,109,-2.943171281,-0.2897558469
4,112,-2.804088886,-0.2127439051
4,115,-2.71394788,-0.02422635264
4,118,-2.670758256,0.1243278353
4,121,-2.708754462,0.1142542542
4,124,-2.809048427,-0.02163850555
4,127,-2.933612242,-0.2146274673
4,130,-3.035378781,-0.3975497617
4,133,-3.036077745,-0.4823876042
4,136,-2.823729764,-0.3992141559
4,139,-2.339037435,-0.2656783618
4,142,-1.683210058,-0.1303014453
4,145,-0.9057169304,-0.08407247174
4,148,-0.09947273614,-0.08496967925
4,151,0.443685307,-0.1904965033
4,154,0.7832097487,-0.2505642021
4,157,1.026569454,-0.1484443626
4,160,1.276524682,0.002580267894
4,163,1.502682765,0.1347989222
4,166,1.507911232,0.1757312011
4,169,1.281654069,0.1744898226
4,172,0.9653263713,0.1030008927
4,175,0.7238377917,0.0002834083873
4,178,0.5572032565,-0.03553574117
7,4,-3.584677868,-0.07006412782
7,7,-3.461845439,-0.09417960129
7,10,-3.326514042,-0.2175802705
7,13,-3.359250803,-0.5038087475
7,16,-3.206814701,-0.7474680254
7,19,-2.994153096,-1.045426821
7,22,-3.007582804,-1.512205295
7,25,-3.155652728,-1.510240808
7,28,-3.053277756,-1.643880143
7,31,-2.666799731,-0.9670625474
7,34,-2.226025519,-0.01695067193
7,37,-1.948191175,0.6219121516
7,40,-1.844977334,1.036335398
7,43,-1.858674827,1.198815075
7,46,-1.89681662,1.135057592
7,49,-1.970733582,0.8343552587
7,52,-2.025717782,0.7738929915
7,55,-2.027903235,0.8629502729
7,58,-2.064111188,0.5880181738
7,61,-2.164213728,0.211088134
7,64,-2.24006653,-0.09026196492
7,67,-2.242775584,-0.447205091
7,70,-2.236707775,-0.8709767117
7,73,-2.291528382,-1.162279299
7,76,-2.423494287,-1.823169659
7,79,-2.669653182,-2.306880942
7,82,-2.935649751,-2.670092037
7,85,-3.068818257,-2.862217693
7,88,-2.845568767,-2.604660791
7,91,-2.565859552,-1.905850826
7,94,-2.444330415,-1.173631182
7,97,-2.689701269,-0.7054480263
7,100,-3.106917698,-0.3294329986
7,103,-3.303846685,-0.2083712534
7,106,-3.205950513,-0.2503834982
7,109,-2.962466539,-0.3445041916
7,112,-2.781445023,-0.2781278932
7,115,-2.671999119,0.0289113335
7,118,-2.595451977,0.271045083
7,121,-2.644528573,0.2408519947
7,124,-2.784908364,0.0409496775
7,127,-2.970126574,-0.2176591297
7,130,-3.160000064,-0.4601899989
7,133,-3.267357069,-0.5740336269
7,136,-3.120652068,-0.4230408238
7,139,-2.592310163,-0.2462980383
7,142,-1.847449615,-0.05972780447
7,145,-0.9144755601,-0.03443246474
7,148,0.08658664321,-0.03609583038
7,151,0.6151307072,-0.2377435521
7,154,0.8694578223,-0.3632831856
7,157,1.025041281,-0.2069193528
7,160,1.260352252,0.0008332822693
7,163,1.548286235,0.203359948
7,166,1.541266117,0.2537233038
7,169,1.236669252,0.2706495427
7,172,0.8279465933,0.1841520733
7,175,0.5673387857,0.03125189008
7,178,0.3610324417,-0.01327787275
10,4,-3.876310213,-0.006152355117
10,7,-3.750519743,-0.02178015295
10,10,-3.59569616,-0.1977884216
10,13,-3.728675431,-0.6577531727
10,16,-3.437665758,-0.9705149914
10,19,-3.050739303,-1.368980725
10,22,-3.050554884,-2.176232321
10,25,-3.289035123,-2.065873772
10,28,-3.183879314,-2.38959977
10,31,-2.720270988,-1.228767405
10,34,-2.198663851,0.2082473331
10,37,-1.902569483,0.9614557064
10,40,-1.826041107,1.358453068
10,43,-1.907364905,1.448262903
10,46,-2.001106683,1.367763025
10,49,-2.146704458,0.9576154922
10,52,-2.230890426,0.9969577159
10,55,-2.178451333,1.235886978
10,58,-2.233800319,0.7340417626
10,61,-2.440963235,0.1123875586
10,64,-2.579441542,-0.2411863506
10,67,-2.488294853,-0.4997116473
10,70,-2.420250891,-0.8711866269
10,73,-2.464779533,-1.009388285
10,76,-2.48700944,-1.90110972
10,79,-2.662672995,-2.458197566
10,82,-2.872100123,-2.984123361
10,85,-2.987617235,-3.407289206
10,88,-2.69963759,-3.130831874
10,91,-2.419214674,-2.101744837
10,94,-2.278777876,-1.108900233
10,97,-2.629719176,-0.6193367252
10,100,-3.294487851,-0.09210107307
10,103,-3.544859812,-0.03483300441
10,106,-3.352383689,-0.2069540401
10,109,-2.985992219,-0.4578643561
10,112,-2.769406398,-0.3903897555
10,115,-2.64224627,0.1801229584
10,118,-2.471141539,0.5959863772
10,121,-2.529264448,0.4912106713
10,124,-2.731421605,0.1642639565
10,127,-3.012869256,-0.1968602951
10,130,-3.353660237,-0.517720928
10,133,-3.66747386,-0.6699236541
10,136,-3.685989255,-0.402586557
10,139,-3.155915136,-0.1761268605
10,142,-2.289979248,0.08818062576
10,145,-1.046688073,0.06585876275
10,148,0.2557335677,0.06539689338
10,151,0.7077102022,-0.303376355
10,154,0.7623651396,-0.5329861399
10,157,0.7111329259,-0.302245261
10,160,0.8439057021,-0.02803830797
10,163,1.136524105,0.3257416339
10,166,1.073757574,0.4347165759
10,169,0.6935727503,0.4991968403
10,172,0.2020971104,0.4372219199
10,175,-0.02586026419,0.2296396607
10,178,-0.2401750865,0.140351875
13,4,-4.375692473,0.01493516615
13,7,-4.337532607,0.01777569516
13,10,-4.274584282,-0.2838104872
13,13,-4.304932124,-0.9404095265
13,16,-3.814271653,-1.437909987
13,19,-3.358254784,-2.10981136
13,22,-3.243658287,-2.962427999
13,25,-3.250748366,-3.085652631
13,28,-3.106937356,-2.881689799
13,31,-2.781561043,-1.165100461
13,34,-2.388135241,0.6054546504
13,37,-2.108016658,1.486553993
13,40,-2.045635574,1.677582949
13,43,-2.185481553,1.625860874
13,46,-2.405400978,1.620471142
13,49,-2.655814949,1.552349429
13,52,-2.77206712,1.775625608
13,55,-2.595280256,1.807264736
13,58,-2.711495431,0.9613999625
13,61,-3.076885339,-0.07592889631
13,64,-3.335120137,-0.6718494363
13,67,-3.013704403,-0.5687416271
13,70,-2.921680372,-0.4714270557
13,73,-3.070789564,-0.6872177228
13,76,-2.818548453,-1.484281811
13,79,-2.710156458,-2.129344313
13,82,-2.575951222,-2.894982875
13,85,-2.354679275,-3.60771251
13,88,-2.326237135,-3.398322313
13,91,-2.369848243,-2.12516071
13,94,-2.368405564,-1.090196939
13,97,-2.549218671,-0.7152403091
13,100,-3.312544123,-0.005994091672
13,103,-3.49926583,-0.02527331639
13,106,-3.271243192,-0.2763278269
13,109,-3.004818795,-0.5779935106
13,112,-2.854292869,-0.3920317474
13,115,-2.737529462,0.4975574394
13,118,-2.385087706,1.023138607
13,121,-2.414499244,0.7556101647
13,124,-2.644099437,0.2871100601
13,127,-2.983894313,-0.1479950778
13,130,-3.434468413,-0.4834396168
13,133,-3.933088445,-0.5961726587
13,136,-4.149414514,-0.331689952
13,139,-3.903394208,-0.04816332028
13,142,-3.061209809,0.2229537242
13,145,-1.376205177,0.2687895015
13,148,-0.1733984285,0.1691958616
13,151,0.2358934604,-0.2624763878
13,154,-0.005633517666,-0.4834815725
13,157,-0.3053804797,-0.3796600083
13,160,-0.3966380478,-0.1592422535
13,163,-0.5041881134,0.3538091049
13,166,-0.6780735412,0.7264455467
13,169,-0.9125138321,0.7487714386
13,172,-1.214060562,0.8483017924
13,175,-1.367302078,0.7408098939
13,178,-1.354564328,0.4299819173
16,4,-4.750428212,-0.06733137259
16,7,-4.565491293,0.2214436383
16,10,-4.053829518,0.2612777265
16,13,-3.876075682,-0.5580033473
16,16,-3.643995361,-1.391615584
