PIVlab by W.Th. & E.J.S., ASCII chart output - 25-Aug-2019
FRAME: 33, filenames: A: frame0064.jpg & B: frame0065.jpg, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame]
4,4,-1.327957643,-0.6991490766
4,7,-1.42135537,-0.7343175941
4,10,-1.580969218,-0.8009953505
4,13,-1.784245748,-0.8929260983
4,16,-1.988689546,-0.9935610696
4,19,-2.184080083,-1.059332987
4,22,-2.413703946,-0.9949654476
4,25,-2.70184943,-0.6946230247
4,28,-2.866882451,-0.2168130883
4,31,-2.800507669,0.3010333519
4,34,-2.742475749,0.4356603864
4,37,-2.696794202,0.2931674612
4,40,-2.632885709,0.04155211166
4,43,-2.570958927,-0.2472358458
4,46,-2.518378555,-0.5381878633
4,49,-2.364587941,-0.7360692831
4,52,-2.16376382,-0.7777035983
4,55,-2.026710266,-0.6611908837
4,58,-1.976072006,-0.5558294354
4,61,-1.998233333,-0.441072241
4,64,-2.082024488,-0.3385994303
4,67,-2.212670067,-0.2452210348
4,70,-2.365262465,-0.2925543118
4,73,-2.514986213,-0.4314132926
4,76,-2.637470743,-0.5289458074
4,79,-2.769701047,-0.5108333513
4,82,-2.977058695,-0.362283932
4,85,-3.21913113,-0.2149798456
4,88,-3.411642307,-0.06800238862
4,91,-3.440819252,0.1284123249
4,94,-3.316696361,0.3317358458
4,97,-3.15429537,0.4588939356
4,100,-3.018160792,0.5035594902
4,103,-2.929170908,0.4907964747
4,106,-2.899472579,0.4362465891
4,109,-2.943676978,0.3328006746
4,112,-3.052745684,0.1764083887
4,115,-3.149273155,-0.07642052668
4,118,-3.204235215,-0.3755934042
4,121,-3.194393926,-0.6344026772
4,124,-3.177130402,-0.8856106101
4,127,-3.200253428,-1.154676873
4,130,-3.272181627,-1.41644461
4,133,-3.35544058,-1.593635123
4,136,-3.373727516,-1.598276106
4,139,-3.262966571,-1.466953672
4,142,-2.978937507,-1.38852939
4,145,-2.611187499,-1.656435039
4,148,-2.299000504,-1.99285255
4,151,-2.180547209,-2.018743113
4,154,-2.243958324,-1.696318185
4,157,-2.498408316,-1.383706679
4,160,-2.9188653,-1.123786122
4,163,-3.358127209,-0.9366273931
4,166,-3.689397,-0.8292448453
4,169,-3.823219461,-0.8131673789
4,172,-3.834766875,-0.8267656929
4,175,-3.805543952,-0.8431384151
4,178,-3.780182703,-0.8554846535
7,4,-1.193768,-0.6621938611
7,7,-1.314603899,-0.7052151044
7,10,-1.504092952,-0.7867810135
7,13,-1.752726726,-0.9067382375
7,16,-1.982552681,-1.055098744
7,19,-2.176546987,-1.186653051
7,22,-2.420101151,-1.163319328
7,25,-2.812947354,-0.7914849908
7,28,-3.039890514,-0.1933665579
7,31,-2.86387375,0.5561318633
7,34,-2.782120956,0.6589873991
7,37,-2.734598482,0.4244612816
7,40,-2.665799704,0.09755239823
7,43,-2.618084379,-0.2634750174
7,46,-2.620716277,-0.6374578081
7,49,-2.421137549,-0.8665117176
7,52,-2.142853991,-0.8849700877
7,55,-1.975490885,-0.6742462881
7,58,-1.924421891,-0.5649596598
7,61,-1.95470393,-0.4363502826
7,64,-2.054094695,-0.3247527536
7,67,-2.209706543,-0.1621604133
7,70,-2.384975881,-0.2361173904
7,73,-2.544367624,-0.4638132959
7,76,-2.643092889,-0.6121016438
7,79,-2.740842127,-0.5917517883
7,82,-2.960137885,-0.3671828449
7,85,-3.23199527,-0.2245854301
7,88,-3.462976303,-0.1061708385
7,91,-3.483066059,0.1279428825
7,94,-3.317188995,0.4036463253
7,97,-3.128348202,0.548257993
7,100,-2.974782756,0.5762233402
7,103,-2.869293158,0.5481001848
7,106,-2.829085246,0.4979428639
7,109,-2.887607648,0.4003102019
7,112,-3.054446744,0.2740679059
7,115,-3.175624682,-0.0008979280888
7,118,-3.241301858,-0.3497063587
7,121,-3.197933261,-0.6154733976
7,124,-3.149487112,-0.8784578303
7,127,-3.170611794,-1.186637949
7,130,-3.282907046,-1.517121367
7,133,-3.441273582,-1.760978086
7,136,-3.52204471,-1.748071042
7,139,-3.437084441,-1.514270942
7,142,-3.076339659,-1.285115649
7,145,-2.5978918,-1.676678581
7,148,-2.192591278,-2.211663731
7,151,-2.067926576,-2.267645709
7,154,-2.136612749,-1.753172077
7,157,-2.423980369,-1.363575771
7,160,-2.940924636,-1.050663556
7,163,-3.47846817,-0.8454164849
7,166,-3.880085148,-0.7417691118
7,169,-3.961263739,-0.7823849566
7,172,-3.896380577,-0.8259866486
7,175,-3.810731724,-0.854086101
7,178,-3.754329792,-0.8757546322
10,4,-0.9368286677,-0.5720643382
10,7,-1.121855938,-0.6381281922
10,10,-1.36216668,-0.7507203819
10,13,-1.722706133,-0.9161107103
10,16,-2.023743134,-1.132614078
10,19,-2.234292532,-1.356423798
10,22,-2.503335478,-1.383768609
10,25,-3.069418282,-0.8725031968
10,28,-3.424763302,-0.1625862322
10,31,-3.072293581,0.9274241962
10,34,-2.958052276,0.9355788777
10,37,-2.883984556,0.5918350126
10,40,-2.793488839,0.1714612744
10,43,-2.765591601,-0.3249640833
10,46,-2.868084871,-0.8483303511
